basin,key,lat,lon,Kpet,uztwm,uzfwm,lztwm,lzfpm,lzfsm,uzk,lzpk,lzsk,zperc,rexp,pfree,pctim,adimp,riva,side,rserv,SCF,PXTEMP,MFMAX,MFMIN,UADJ,MBASE,TIPM,PLWHC,NMF,DAYGM,Nres,Kres,Velo,Diff,Kpet_asin,Kpet_acos
ORO,40.34375_-120.71875,40.34375,-120.71875,0.6028206113108061,37.45489827254373,498.95890953713797,817.5337248273427,2016.9321842547647,1715.7431293918087,0.19053537550390495,0.12488875430763402,0.026618648260092165,436.6026094950884,3.2454776136730215,0.2741414975897163,0.009355905876925322,0.25241159747106,0.005906963684103818,0.0,0.25612478187513205,1.0,0.0,0.9876975120203254,0.059342181919869216,0.0308748016091268,0.06270837044644828,0.9766586039658728,0.02428904324336012,0.2969241203972157,0.23915150597996118,10.227355960675808,0.7624197635112777,4.709092605093053,3987.787782259147,0.09645018090557163,0.13646756913528793
ORO,40.28125_-120.78125,40.28125,-120.78125,1.154196940892655,423.82346330456636,674.7972036772928,1204.6792951824677,1231.8317809280604,3707.9989235241387,0.34193240581491163,0.23520890725101756,0.036454528744647545,340.69100130285597,6.410799123015948,0.3374147099447305,0.024874850718899524,0.29896938266236905,0.09899153865226538,0.0,0.25612478187513205,1.0,0.0,0.822453342366829,0.11998698590007187,0.04422477210146274,0.11243238394057901,0.980755074177252,0.026431987612201148,0.2946089562758381,0.14538488282447434,6.746391843292076,0.8469773041416209,4.262985168827854,3757.771549142885,0.031163878495423892,0.04665299867451531
ORO,40.28125_-120.71875,40.28125,-120.71875,0.8930574053106739,261.87991347820633,618.8561698888446,1289.845586266517,1386.965102344995,3290.0454376196,0.28618203306143986,0.21419968274574505,0.03066517571683359,379.72512419331014,5.186158276148178,0.3048084773562149,0.018181102645951974,0.26694904850746887,0.03567682328321259,0.0,0.25612478187513205,1.0,0.0,0.8116310133836432,0.09061075971513399,0.035810434790971804,0.10454263060491223,0.979493341807461,0.026032937902597822,0.2949951789190667,0.1719941971730438,7.843128144302043,0.8199011344136767,4.472549261614227,3895.491137005623,0.055603239939014525,0.08351927634781003
ORO,40.28125_-120.65625,40.28125,-120.65625,0.9241383068933045,323.65308768037573,626.9543669726093,1571.519212591117,1241.6439043407188,3592.744458513591,0.29773677177452756,0.2450009983331551,0.028491259680615798,371.8039028157852,5.428939797224424,0.299717121726102,0.019724238756177175,0.25601180548638863,0.03881759922561234,0.0,0.25612478187513205,1.0,0.0,0.7313244724697635,0.10165560904956814,0.03719457282989329,0.12649187087222913,0.9797985624017933,0.026815453080755298,0.2939900102153419,0.15248723922049542,7.624176141820764,0.8229598664335189,4.4557659400397425,3862.4170704365742,0.05142344001696231,0.07555234275301477
ORO,40.28125_-120.59375,40.28125,-120.59375,0.5861245014019304,90.4236165820848,485.32524211448384,2096.1043148614744,1468.3546334289556,2848.131492942651,0.19575669735258538,0.23946373515897434,0.016743299719489527,433.53702093236853,3.3128726904517802,0.226939286860796,0.010434727281781398,0.1924505610413067,0.00358160900281162,0.0,0.25612478187513205,1.0,0.0,0.6529832587876786,0.0683967924334242,0.031059677221370787,0.1308855085680805,0.9769726096406712,0.027026332304945947,0.2939213523444938,0.1898392670606758,10.026512174317809,0.7563474871984459,4.756844397551891,3975.5655158428685,0.09719479005051833,0.13255300710565912
ORO,40.21875_-120.71875,40.21875,-120.71875,0.7232435046029877,116.94407620767387,552.1908499160053,1221.1640195647992,1632.131169097925,2667.0568032220053,0.23229084205997041,0.19804499399954595,0.024729517384239477,413.4875609541763,4.045599903406395,0.28346730807570825,0.013192711884448477,0.2606036956397159,0.012211565574078091,0.0,0.25612478187513205,1.0,0.0,0.8230447485346333,0.07238704746754113,0.032215455959944926,0.09324708365656227,0.9781687129951873,0.025557443764093753,0.2955756526773576,0.20034795863391613,8.981926422325866,0.7916895456018255,4.640824035651846,3964.1460965124043,0.07905091027991866,0.11504986012721419
ORO,40.21875_-120.65625,40.21875,-120.65625,1.3099748132695384,456.73677783173935,702.1765315644592,842.7916466953895,1367.4435364939181,3514.458222524646,0.3642922591345947,0.19965716903564176,0.048103826078185356,324.2433798241759,6.917597719025714,0.35569997898627337,0.026266135197990387,0.34027989046203183,0.17596027185735483,0.0,0.25612478187513205,1.0,0.0,1.0066201422054388,0.1208153300122246,0.04885325939911091,0.08517134747081184,0.9811261008174317,0.025644027014359826,0.2958558939689223,0.15905666768009916,6.294917740642506,0.8613918047043796,4.1174276456327705,3693.2151312036267,0.020443839890881464,0.032986231993605425
ORO,40.21875_-120.53125,40.21875,-120.53125,1.0434702467791186,386.8685468841158,655.5658473044654,1440.4842972149913,1186.1112580213828,3757.9371414105176,0.32328980072622887,0.24096496837443585,0.032157152412762575,354.06746780910834,5.991744638223933,0.31876523435844345,0.022399033462801567,0.2734099425525616,0.06522310520257535,0.0,0.25612478187513205,1.0,0.0,0.7347897115054652,0.11415215650176928,0.04077896780339238,0.12613251528665365,0.9803973705397534,0.026668932358232714,0.29387630157322664,0.144174731500451,7.16766651030072,0.8342080723808235,4.352562442142611,3821.872944936293,0.040015000248685255,0.05889382718836739
ORO,40.21875_-120.46875,40.21875,-120.46875,0.5999843396336265,86.67947390649029,510.2388876716792,1685.3314131658403,1487.6135051193637,2799.530626529777,0.20577275307950346,0.18658790491031887,0.02129958061218833,428.4529368154404,3.5089153404799913,0.24978045458953926,0.010814305607903318,0.1981432654591738,0.0052611665419232,0.0,0.25612478187513205,1.0,0.0,0.7034363580674708,0.06726427908070706,0.031231321517107138,0.10964876467409124,0.9771982265905409,0.025927689162325542,0.294741435090087,0.2015416501644196,9.944976954221072,0.759653308648536,4.714779966311692,3976.209803266174,0.09200168384028612,0.12859761710831064
ORO,40.15625_-120.71875,40.15625,-120.71875,0.6774061022570073,220.0555928142356,536.9976566293907,2617.4257053536685,1101.401683924422,3712.9595370020347,0.23453077042271642,0.29663881619067317,0.016032508095307964,411.8422721746545,4.05470966260464,0.232729304106948,0.013626061615136692,0.18655495145327852,0.00705365044501721,0.0,0.25612478187513205,1.0,0.0,0.5238829013159504,0.08874043909459225,0.032416391178631265,0.18939999937307408,0.9782981294723924,0.02854486097329356,0.29124785257128316,0.1462979627829937,9.12943938685322,0.7747350013097073,4.689523877749583,3938.8897039693816,0.08143657879693152,0.11199378320163764
