basin,key,overlap_area_mi2
BND,40.656250_-122.531250,14.166939736685123
BND,40.656250_-122.593750,14.164147326136137
BND,40.656250_-122.656250,14.164147326136803
BND,40.656250_-122.718750,10.476616509543831
BND,40.718750_-121.156250,14.151074645182202
BND,40.718750_-121.218750,14.151074645174457
BND,40.718750_-121.281250,14.151074645180568
BND,40.718750_-121.343750,14.151074645181053
BND,40.718750_-121.406250,14.151074645177777
BND,40.718750_-121.468750,14.151074645183375
BND,40.718750_-121.531250,14.151074645180818
BND,40.718750_-121.593750,14.151074645176212
BND,40.718750_-121.656250,14.15107464518277
BND,40.718750_-121.718750,14.15107464518196
BND,40.718750_-121.781250,14.150538016359397
BND,40.718750_-121.843750,14.151074645180815
BND,40.718750_-121.906250,14.151074645181145
BND,40.718750_-121.968750,14.151074645175377
BND,40.718750_-122.031250,14.151074645181424
BND,40.718750_-122.093750,14.14693208251819
BND,40.718750_-122.156250,14.141481615528349
BND,40.718750_-122.218750,14.143918732102307
BND,40.718750_-122.281250,14.132445701901178
BND,40.718750_-122.343750,14.144333049622478
BND,40.718750_-122.406250,14.145656760668912
BND,40.718750_-122.468750,14.145484879083828
BND,40.718750_-122.531250,14.156921166985043
BND,40.718750_-122.593750,14.151074645183456
BND,40.718750_-122.656250,14.151074645182875
BND,40.781250_-120.968750,13.917545596327745
BND,40.781250_-121.031250,14.137984812618686
BND,40.781250_-121.093750,14.101810348431004
BND,40.781250_-121.156250,14.137984812618454
BND,40.781250_-121.218750,14.137984812613567
BND,40.781250_-121.281250,14.137984812619363
BND,40.781250_-121.343750,14.137984812619028
BND,40.781250_-121.406250,14.137984812611696
BND,40.781250_-121.468750,14.137984812617528
BND,40.781250_-121.531250,14.137984812619576
BND,40.781250_-121.593750,14.137984812613547
BND,40.781250_-121.656250,14.137984812618996
BND,40.781250_-121.718750,14.137984812617825
BND,40.781250_-121.781250,14.137984812611794
BND,40.781250_-121.843750,14.157907048684816
BND,40.781250_-121.906250,14.079779150730666
BND,40.781250_-121.968750,14.145127739654741
BND,40.781250_-122.031250,14.143865476556586
BND,40.781250_-122.093750,14.13798481261846
BND,40.781250_-122.156250,14.13798481261256
BND,40.781250_-122.218750,14.137984812619484
BND,40.781250_-122.281250,14.12285192827569
BND,40.781250_-122.343750,14.139586226320224
BND,40.781250_-122.406250,14.137984812619827
BND,40.781250_-122.468750,14.13798481262079
BND,40.781250_-122.531250,14.137984812613848
BND,40.781250_-122.593750,14.13798481261869
BND,40.781250_-122.656250,10.109469751887628
BND,40.781250_-122.718750,0.5702817137810703
BND,40.843750_-120.843750,6.198243887488041
BND,40.843750_-120.906250,14.037029854845928
BND,40.843750_-120.968750,14.124877842360215
BND,40.843750_-121.031250,14.124877842360265
BND,40.843750_-121.093750,14.124877842354257
BND,40.843750_-121.156250,14.12487784236152
BND,40.843750_-121.218750,14.12487784235641
BND,40.843750_-121.281250,14.124877842360764
BND,40.843750_-121.343750,14.124877842358742
BND,40.843750_-121.406250,14.124877842354206
BND,40.843750_-121.468750,14.124877842361602
BND,40.843750_-121.531250,14.12487784236105
BND,40.843750_-121.593750,14.124877842355064
BND,40.843750_-121.656250,14.124877842360274
BND,40.843750_-121.718750,14.124877842360474
BND,40.843750_-121.781250,14.124877842354701
BND,40.843750_-121.843750,14.124877842360508
BND,40.843750_-121.906250,14.1248778423606
BND,40.843750_-121.968750,14.12487784235434
BND,40.843750_-122.031250,14.12487784235905
BND,40.843750_-122.093750,14.124877842357717
BND,40.843750_-122.156250,14.124877842353454
BND,40.843750_-122.218750,14.124877842359828
BND,40.843750_-122.281250,14.124877842358305
BND,40.843750_-122.343750,14.124877842354358
BND,40.843750_-122.406250,14.124877842361073
BND,40.843750_-122.468750,14.124877842358737
BND,40.843750_-122.531250,14.12487784235326
BND,40.843750_-122.593750,14.124877842360169
BND,40.843750_-122.656250,4.924114748690968
BND,40.906250_-120.843750,9.993073219197314
BND,40.906250_-120.906250,14.111753748349432
BND,40.906250_-120.968750,14.111753748354536
BND,40.906250_-121.031250,14.111753748353275
BND,40.906250_-121.093750,14.111753748346846
BND,40.906250_-121.156250,14.11175374835243
BND,40.906250_-121.218750,14.111753748346553
BND,40.906250_-121.281250,14.111753748352625
BND,40.906250_-121.343750,14.111753748353253
BND,40.906250_-121.406250,14.111753748347367
BND,40.906250_-121.468750,14.111753748353223
BND,40.906250_-121.531250,14.111753748353825
BND,40.906250_-121.593750,14.11175374834693
BND,40.906250_-121.656250,14.11175374835207
BND,40.906250_-121.718750,14.111753748353966
BND,40.906250_-121.781250,14.111753748347741
BND,40.906250_-121.843750,14.111753748353143
BND,40.906250_-121.906250,14.11175374835442
BND,40.906250_-121.968750,14.111753748348235
BND,40.906250_-122.031250,14.11175374835404
BND,40.906250_-122.093750,14.111753748355474
BND,40.906250_-122.156250,14.111753748349162
BND,40.906250_-122.218750,14.111753748354262
BND,40.906250_-122.281250,14.111753748355127
BND,40.906250_-122.343750,14.11175374834895
BND,40.906250_-122.406250,14.111753748353086
BND,40.906250_-122.468750,14.111753748353816
BND,40.906250_-122.531250,14.11259413530734
BND,40.906250_-122.593750,10.38452062763238
BND,40.906250_-122.656250,0.008452108447693077
BND,40.968750_-120.656250,7.914882009542538
BND,40.968750_-120.781250,9.928171914721656
BND,40.968750_-120.843750,13.942423735862713
BND,40.968750_-120.906250,14.09861254454601
BND,40.968750_-120.968750,14.098612544552338
BND,40.968750_-121.031250,14.098612544553161
BND,40.968750_-121.093750,14.098612544547802
BND,40.968750_-121.156250,14.098612544554323
BND,40.968750_-121.218750,14.09861254454841
BND,40.968750_-121.281250,14.098612544553413
BND,40.968750_-121.343750,14.098612544553793
BND,40.968750_-121.406250,14.098612544548546
BND,40.968750_-121.468750,14.09861254455209
BND,40.968750_-121.531250,14.09861254455144
BND,40.968750_-121.593750,14.09861254454869
BND,40.968750_-121.656250,14.098612544554257
BND,40.968750_-121.718750,14.098612544551722
BND,40.968750_-121.781250,14.098612544546798
BND,40.968750_-121.843750,14.0986125445533
BND,40.968750_-121.906250,14.098612544551978
BND,40.968750_-121.968750,14.098612544547894
BND,40.968750_-122.031250,14.098612544554777
BND,40.968750_-122.093750,14.098612544554374
BND,40.968750_-122.156250,14.098612544548178
BND,40.968750_-122.218750,14.098612544551415
BND,40.968750_-122.281250,14.098612544550578
BND,40.968750_-122.343750,14.098612544546222
BND,40.968750_-122.406250,14.098612544552461
BND,40.968750_-122.468750,14.0986125445533
BND,40.968750_-122.531250,14.035313511746448
BND,40.968750_-122.593750,6.628684382861903
BND,41.031250_-120.218750,4.182940702703663
BND,41.031250_-120.343750,7.725699791013311
BND,41.031250_-120.593750,9.668145616107358
BND,41.031250_-120.656250,14.085454244958303
BND,41.031250_-120.718750,14.085454244952247
BND,41.031250_-120.781250,14.085454244956942
BND,41.031250_-120.843750,14.085454244958294
BND,41.031250_-120.906250,14.085454244952848
BND,41.031250_-120.968750,14.085454244958628
BND,41.031250_-121.031250,14.08545424495882
BND,41.031250_-121.093750,14.085454244953777
BND,41.031250_-121.156250,14.085454244958713
BND,41.031250_-121.218750,14.085454244952098
BND,41.031250_-121.281250,14.085454244958349
BND,41.031250_-121.343750,14.085454244958978
