date,basin,obs_mm,cal_start,cal_end
1941-02-28,AMF,119.37831567290372,1951-10,2013-09
1941-03-31,AMF,113.44098145425137,1951-10,2013-09
1941-04-30,AMF,112.30404511450944,1951-10,2013-09
1941-05-31,AMF,181.80875335073338,1951-10,2013-09
1941-06-30,AMF,71.34907163180532,1951-10,2013-09
1941-07-31,AMF,21.34913793515421,1951-10,2013-09
1941-08-31,AMF,5.709946950703966,1951-10,2013-09
1941-09-30,AMF,4.219297083042312,1951-10,2013-09
1941-10-31,AMF,4.49721485497923,1951-10,2013-09
1941-11-30,AMF,12.329442973201486,1951-10,2013-09
1941-12-31,AMF,81.98574272139102,1951-10,2013-09
1942-01-31,AMF,147.22062337058412,1951-10,2013-09
1942-02-28,AMF,139.89370029224716,1951-10,2013-09
1942-03-31,AMF,72.13229444362753,1951-10,2013-09
1942-04-30,AMF,158.18574273609528,1951-10,2013-09
1942-05-31,AMF,181.10132629489394,1951-10,2013-09
1942-06-30,AMF,140.62639260008086,1951-10,2013-09
1942-07-31,AMF,39.236936347094066,1951-10,2013-09
1942-08-31,AMF,8.110145890159172,1951-10,2013-09
1942-09-30,AMF,4.396153847002169,1951-10,2013-09
1942-10-31,AMF,4.269827587030842,1951-10,2013-09
1942-11-30,AMF,38.93375332316288,1951-10,2013-09
1942-12-31,AMF,70.2626657960519,1951-10,2013-09
1943-01-31,AMF,174.6586870363563,1951-10,2013-09
1943-02-28,AMF,94.4667772065581,1951-10,2013-09
1943-03-31,AMF,234.86578253869058,1951-10,2013-09
1943-04-30,AMF,149.16604777414256,1951-10,2013-09
1943-05-31,AMF,112.68302389442341,1951-10,2013-09
1943-06-30,AMF,66.70026526486049,1951-10,2013-09
1943-07-31,AMF,22.081830242987905,1951-10,2013-09
1943-08-31,AMF,6.417374006543396,1951-10,2013-09
1943-09-30,AMF,4.4466843509907,1951-10,2013-09
1943-10-31,AMF,4.909038462485755,1951-10,2013-09
1943-11-30,AMF,6.136929709407051,1951-10,2013-09
1943-12-31,AMF,7.705901858250928,1951-10,2013-09
1944-01-31,AMF,14.704376660662428,1951-10,2013-09
1944-02-29,AMF,36.432493375730616,1951-10,2013-09
1944-03-31,AMF,59.07268568779178,1951-10,2013-09
1944-04-30,AMF,54.50472812722862,1951-10,2013-09
1944-05-31,AMF,119.15598145535418,1951-10,2013-09
1944-06-30,AMF,49.05248674686615,1951-10,2013-09
1944-07-31,AMF,11.62706896776091,1951-10,2013-09
1944-08-31,AMF,3.6154575603793697,1951-10,2013-09
1944-09-30,AMF,2.390092838657501,1951-10,2013-09
1944-10-31,AMF,2.713488064184097,1951-10,2013-09
1944-11-30,AMF,30.414310350696613,1951-10,2013-09
1944-12-31,AMF,31.34407162408558,1951-10,2013-09
1945-01-31,AMF,24.567931039223613,1951-10,2013-09
1945-02-28,AMF,141.46772549148992,1951-10,2013-09
1945-03-31,AMF,65.44963529114436,1951-10,2013-09
1945-04-30,AMF,105.36368039168474,1951-10,2013-09
1945-05-31,AMF,139.0675265520347,1951-10,2013-09
1945-06-30,AMF,71.35917773260303,1951-10,2013-09
1945-07-31,AMF,17.700835547182294,1951-10,2013-09
1945-08-31,AMF,3.691253316362166,1951-10,2013-09
1945-09-30,AMF,2.5239986742271077,1951-10,2013-09
1945-10-31,AMF,8.941372680770503,1951-10,2013-09
1945-11-30,AMF,36.030775869021795,1951-10,2013-09
1945-12-31,AMF,137.4859217771937,1951-10,2013-09
1946-01-31,AMF,77.94077587710913,1951-10,2013-09
1946-02-28,AMF,39.042393906738226,1951-10,2013-09
1946-03-31,AMF,86.29346818641326,1951-10,2013-09
1946-04-30,AMF,129.60568968018234,1951-10,2013-09
1946-05-31,AMF,138.64054379333163,1951-10,2013-09
1946-06-30,AMF,51.38699603113627,1951-10,2013-09
1946-07-31,AMF,12.256173742418115,1951-10,2013-09
1946-08-31,AMF,3.347645889240157,1951-10,2013-09
1946-09-30,AMF,3.2440583560636695,1951-10,2013-09
1946-10-31,AMF,4.641226791346543,1951-10,2013-09
1946-11-30,AMF,22.233421754953497,1951-10,2013-09
1946-12-31,AMF,21.902446953828623,1951-10,2013-09
1947-01-31,AMF,12.741266580708011,1951-10,2013-09
1947-02-28,AMF,43.52192308532147,1951-10,2013-09
1947-03-31,AMF,77.14997348968865,1951-10,2013-09
1947-04-30,AMF,76.22526526669853,1951-10,2013-09
1947-05-31,AMF,66.34655173694078,1951-10,2013-09
1947-06-30,AMF,24.27232759089071,1951-10,2013-09
1947-07-31,AMF,4.717022547329338,1951-10,2013-09
1947-08-31,AMF,2.362301061463809,1951-10,2013-09
1947-09-30,AMF,1.8772082231739147,1951-10,2013-09
1947-10-31,AMF,11.79381963092306,1951-10,2013-09
1947-11-30,AMF,10.967645890710584,1951-10,2013-09
1947-12-31,AMF,7.069217507995442,1951-10,2013-09
1948-01-31,AMF,42.97619364224534,1951-10,2013-09
1948-02-29,AMF,18.787241382935704,1951-10,2013-09
1948-03-31,AMF,37.213189662353415,1951-10,2013-09
1948-04-30,AMF,134.31260612671397,1951-10,2013-09
1948-05-31,AMF,160.17159154284454,1951-10,2013-09
1948-06-30,AMF,112.71334219681653,1951-10,2013-09
1948-07-31,AMF,22.084356768187334,1951-10,2013-09
1948-08-31,AMF,4.676598144138514,1951-10,2013-09
1948-09-30,AMF,3.0267771889129875,1951-10,2013-09
1948-10-31,AMF,3.514396552402309,1951-10,2013-09
1948-11-30,AMF,8.946425731169356,1951-10,2013-09
1948-12-31,AMF,13.569966846119913,1951-10,2013-09
1949-01-31,AMF,12.127320957247363,1951-10,2013-09
1949-02-28,AMF,22.011087537403963,1951-10,2013-09
1949-03-31,AMF,88.744197629857,1951-10,2013-09
1949-04-30,AMF,130.34848808881375,1951-10,2013-09
1949-05-31,AMF,134.11301063595926,1951-10,2013-09
1949-06-30,AMF,42.26624006120648,1951-10,2013-09
1949-07-31,AMF,7.339555704334081,1951-10,2013-09
1949-08-31,AMF,3.6129310351799435,1951-10,2013-09
1949-09-30,AMF,2.5492639262213728,1951-10,2013-09
1949-10-31,AMF,2.90803050453994,1951-10,2013-09
1949-11-30,AMF,6.475484086130206,1951-10,2013-09
1949-12-31,AMF,6.192513263794434,1951-10,2013-09
1950-01-31,AMF,76.16210213671286,1951-10,2013-09
1950-02-28,AMF,84.60827587839577,1951-10,2013-09
1950-03-31,AMF,86.44253317317943,1951-10,2013-09
1950-04-30,AMF,148.60515917986987,1951-10,2013-09
1950-05-31,AMF,151.2074801352792,1951-10,2013-09
1950-06-30,AMF,82.01353449858472,1951-10,2013-09
1950-07-31,AMF,20.755404513288976,1951-10,2013-09
1950-08-31,AMF,4.722075597728192,1951-10,2013-09
