entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
usgs_11299600,usgs_daily,daily,11299600,BLACK C NR COPPEROPOLIS CA,usgs_gpkg,,14.39,,37.96103615,-120.6152035,usgs_gauges:11299600,1983-08-24,1983-08-24,2014-12-31,11402,usgs/flow_daily.nc:flow_mm,
usgs_11315000,usgs_daily,daily,11315000,COLE C NR SALT SPRINGS DAM CA,usgs_gpkg,,20.79,,38.5190783,-120.2126928,usgs_gauges:11315000,1950-01-01,1950-01-01,2014-12-31,22925,usgs/flow_daily.nc:flow_mm,
usgs_11316800,usgs_daily,daily,11316800,FOREST C NR WILSEYVILLE CA,usgs_gpkg,,21.05,,38.40324566,-120.4468676,usgs_gauges:11316800,1960-08-01,1960-08-01,2015-12-31,20159,usgs/flow_daily.nc:flow_mm,
usgs_11318500,usgs_daily,daily,11318500,SF MOKELUMNE R NR WEST POINT CA,usgs_gpkg,,74.93,,38.36824625,-120.5454823,usgs_gauges:11318500,1950-01-01,1950-01-01,2015-12-31,23998,usgs/flow_daily.nc:flow_mm,
usgs_11334300,usgs_daily,daily,11334300,SF COSUMNES R NR RIVER PINES CA,usgs_gpkg,,64.12,,38.5568511,-120.7932682,usgs_gauges:11334300,1957-10-01,1957-10-01,1980-09-29,8400,usgs/flow_daily.nc:flow_mm,
usgs_11337500,usgs_daily,daily,11337500,MARSH C NR BYRON CA,usgs_gpkg,,42.57,,37.87325835,-121.7271752,usgs_gauges:11337500,1953-04-01,1953-04-01,1983-09-29,11139,usgs/flow_daily.nc:flow_mm,
usgs_11341400,usgs_daily,daily,11341400,SACRAMENTO R NR MT SHASTA CA,usgs_gpkg,,128.58,,41.26654165,-122.311677,usgs_gauges:11341400,1959-10-01,1959-10-01,1987-09-29,10226,usgs/flow_daily.nc:flow_mm,
usgs_11371000,usgs_daily,daily,11371000,CLEAR C A FRENCH GULCH CA,usgs_gpkg,,115.22,,40.6948699,-122.6366845,usgs_gauges:11371000,1950-10-01,1950-10-01,1993-09-30,15621,usgs/flow_daily.nc:flow_mm,
usgs_11372000,usgs_daily,daily,11372000,CLEAR C NR IGO CA,usgs_gpkg,,228.17,,40.51320587,-122.5241795,usgs_gauges:11372000,1950-01-01,1950-01-01,1961-12-31,4383,usgs/flow_daily.nc:flow_mm,
usgs_11374000,usgs_daily,daily,11374000,COW C NR MILLVILLE CA,usgs_gpkg,,422.7,,40.50487467,-122.2330577,usgs_gauges:11374000,1950-01-01,1950-01-01,1980-12-31,11323,usgs/flow_daily.nc:flow_mm,
