entity_id,key,lat,lon,overlap_mi2
uf_06,40.46875_-121.34375,40.46875,-121.34375,7.083878
uf_06,40.46875_-121.40625,40.46875,-121.40625,1.658156
uf_06,40.46875_-121.46875,40.46875,-121.46875,5.753151
uf_06,40.46875_-121.53125,40.46875,-121.53125,7.197984
uf_06,40.46875_-121.59375,40.46875,-121.59375,14.203262
uf_06,40.46875_-121.65625,40.46875,-121.65625,14.203262
uf_06,40.46875_-121.71875,40.46875,-121.71875,14.203262
uf_06,40.46875_-121.78125,40.46875,-121.78125,14.203262
uf_06,40.46875_-121.84375,40.46875,-121.84375,14.203289
uf_06,40.46875_-121.90625,40.46875,-121.90625,14.171319
uf_06,40.46875_-121.96875,40.46875,-121.96875,14.203262
uf_06,40.46875_-122.03125,40.46875,-122.03125,14.202394
uf_06,40.46875_-122.09375,40.46875,-122.09375,14.203262
uf_06,40.46875_-122.15625,40.46875,-122.15625,14.203262
uf_06,40.46875_-122.21875,40.46875,-122.21875,14.186464
uf_06,40.46875_-122.28125,40.46875,-122.28125,14.203262
uf_06,40.46875_-122.34375,40.46875,-122.34375,14.203262
uf_06,40.46875_-122.40625,40.46875,-122.40625,14.203262
uf_06,40.46875_-122.46875,40.46875,-122.46875,14.203262
uf_06,40.46875_-122.53125,40.46875,-122.53125,14.193672
uf_06,40.46875_-122.59375,40.46875,-122.59375,14.203262
uf_06,40.46875_-122.65625,40.46875,-122.65625,14.203262
uf_06,40.46875_-122.71875,40.46875,-122.71875,14.203262
uf_06,40.46875_-122.78125,40.46875,-122.78125,14.203262
uf_06,40.46875_-122.84375,40.46875,-122.84375,12.533238
uf_06,40.46875_-122.90625,40.46875,-122.90625,3.851898
uf_06,40.53125_-121.15625,40.53125,-121.15625,0.015876
uf_06,40.53125_-121.21875,40.53125,-121.21875,3.133483
uf_06,40.53125_-121.28125,40.53125,-121.28125,14.163915
uf_06,40.53125_-121.34375,40.53125,-121.34375,14.190241
uf_06,40.53125_-121.40625,40.53125,-121.40625,14.190241
uf_06,40.53125_-121.46875,40.53125,-121.46875,14.190241
uf_06,40.53125_-121.53125,40.53125,-121.53125,14.188655
uf_06,40.53125_-121.59375,40.53125,-121.59375,14.190241
uf_06,40.53125_-121.65625,40.53125,-121.65625,14.190241
uf_06,40.53125_-121.71875,40.53125,-121.71875,14.190241
uf_06,40.53125_-121.78125,40.53125,-121.78125,14.190241
uf_06,40.53125_-121.84375,40.53125,-121.84375,14.188763
uf_06,40.53125_-121.90625,40.53125,-121.90625,14.190241
uf_06,40.53125_-121.96875,40.53125,-121.96875,14.190241
uf_06,40.53125_-122.03125,40.53125,-122.03125,14.174181
uf_06,40.53125_-122.09375,40.53125,-122.09375,14.21631
uf_06,40.53125_-122.15625,40.53125,-122.15625,14.172164
uf_06,40.53125_-122.21875,40.53125,-122.21875,14.180679
uf_06,40.53125_-122.28125,40.53125,-122.28125,14.184421
uf_06,40.53125_-122.34375,40.53125,-122.34375,14.177408
uf_06,40.53125_-122.40625,40.53125,-122.40625,14.190241
uf_06,40.53125_-122.46875,40.53125,-122.46875,14.190241
uf_06,40.53125_-122.53125,40.53125,-122.53125,14.18541
uf_06,40.53125_-122.59375,40.53125,-122.59375,14.169557
uf_06,40.53125_-122.65625,40.53125,-122.65625,14.190241
uf_06,40.53125_-122.71875,40.53125,-122.71875,13.97435
uf_06,40.53125_-122.78125,40.53125,-122.78125,8.159968
uf_06,40.53125_-122.84375,40.53125,-122.84375,0.996168
uf_06,40.59375_-121.03125,40.59375,-121.03125,0.348117
uf_06,40.59375_-121.09375,40.59375,-121.09375,5.487816
uf_06,40.59375_-121.15625,40.59375,-121.15625,10.524344
uf_06,40.59375_-121.21875,40.59375,-121.21875,13.933716
uf_06,40.59375_-121.28125,40.59375,-121.28125,14.177203
uf_06,40.59375_-121.34375,40.59375,-121.34375,14.177203
uf_06,40.59375_-121.40625,40.59375,-121.40625,14.177203
uf_06,40.59375_-121.46875,40.59375,-121.46875,14.177203
uf_06,40.59375_-121.53125,40.59375,-121.53125,14.177203
uf_06,40.59375_-121.59375,40.59375,-121.59375,14.177203
uf_06,40.59375_-121.65625,40.59375,-121.65625,14.183097
uf_06,40.59375_-121.71875,40.59375,-121.71875,14.187621
uf_06,40.59375_-121.78125,40.59375,-121.78125,14.177203
uf_06,40.59375_-121.84375,40.59375,-121.84375,14.177203
uf_06,40.59375_-121.90625,40.59375,-121.90625,14.177203
uf_06,40.59375_-121.96875,40.59375,-121.96875,14.177203
uf_06,40.59375_-122.03125,40.59375,-122.03125,14.177203
uf_06,40.59375_-122.09375,40.59375,-122.09375,14.177203
uf_06,40.59375_-122.15625,40.59375,-122.15625,14.177203
uf_06,40.59375_-122.21875,40.59375,-122.21875,14.177203
uf_06,40.59375_-122.28125,40.59375,-122.28125,14.177007
uf_06,40.59375_-122.34375,40.59375,-122.34375,14.177203
uf_06,40.59375_-122.40625,40.59375,-122.40625,14.171292
uf_06,40.59375_-122.46875,40.59375,-122.46875,14.161441
uf_06,40.59375_-122.53125,40.59375,-122.53125,14.179313
uf_06,40.59375_-122.59375,40.59375,-122.59375,14.147408
uf_06,40.59375_-122.65625,40.59375,-122.65625,14.192214
