basin,date,sim_mm,obs_mm,cal_start,cal_end
BearRiver,1982-10-31,21.143421,20.248676,1951-10,2010-09
BearRiver,1982-11-30,60.391614,87.744262,1951-10,2010-09
BearRiver,1982-12-31,196.45424,156.927238,1951-10,2010-09
BearRiver,1983-01-31,139.665246,109.680328,1951-10,2010-09
BearRiver,1983-02-28,238.583396,249.733669,1951-10,2010-09
BearRiver,1983-03-31,375.969154,350.977048,1951-10,2010-09
BearRiver,1983-04-30,127.342638,118.117276,1951-10,2010-09
BearRiver,1983-05-31,80.417967,77.619924,1951-10,2010-09
BearRiver,1983-06-30,9.055412,16.873897,1951-10,2010-09
BearRiver,1983-07-31,1.086936,5.062169,1951-10,2010-09
BearRiver,1983-08-31,0.058994,0.0,1951-10,2010-09
BearRiver,1983-09-30,0.74046,0.0,1951-10,2010-09
BearRiver,1983-10-31,6.381331,5.062169,1951-10,2010-09
BearRiver,1983-11-30,152.589279,101.243379,1951-10,2010-09
BearRiver,1983-12-31,251.44753,236.234552,1951-10,2010-09
BearRiver,1984-01-31,58.805086,65.808197,1951-10,2010-09
BearRiver,1984-02-29,91.143784,75.932534,1951-10,2010-09
BearRiver,1984-03-31,67.107945,64.120807,1951-10,2010-09
BearRiver,1984-04-30,43.351497,40.497352,1951-10,2010-09
BearRiver,1984-05-31,16.136254,30.373014,1951-10,2010-09
BearRiver,1984-06-30,4.459209,18.561286,1951-10,2010-09
BearRiver,1984-07-31,0.002268,11.811728,1951-10,2010-09
BearRiver,1984-08-31,0.006394,6.749559,1951-10,2010-09
BearRiver,1984-09-30,0.070795,6.749559,1951-10,2010-09
BearRiver,1984-10-31,7.663759,15.186507,1951-10,2010-09
BearRiver,1984-11-30,51.829089,37.122572,1951-10,2010-09
BearRiver,1984-12-31,28.207666,23.623455,1951-10,2010-09
BearRiver,1985-01-31,14.95823,18.561286,1951-10,2010-09
BearRiver,1985-02-28,61.687445,50.62169,1951-10,2010-09
BearRiver,1985-03-31,68.035483,62.433417,1951-10,2010-09
BearRiver,1985-04-30,27.068766,37.122572,1951-10,2010-09
BearRiver,1985-05-31,3.051371,15.186507,1951-10,2010-09
BearRiver,1985-06-30,1.050231,8.436948,1951-10,2010-09
BearRiver,1985-07-31,0.0,6.749559,1951-10,2010-09
BearRiver,1985-08-31,0.0,0.0,1951-10,2010-09
BearRiver,1985-09-30,3.300714,3.374779,1951-10,2010-09
BearRiver,1985-10-31,3.061664,0.0,1951-10,2010-09
BearRiver,1985-11-30,28.66667,16.873897,1951-10,2010-09
BearRiver,1985-12-31,41.650253,42.184741,1951-10,2010-09
BearRiver,1986-01-31,74.329,74.245145,1951-10,2010-09
BearRiver,1986-02-28,458.066235,528.152962,1951-10,2010-09
BearRiver,1986-03-31,228.054576,207.548928,1951-10,2010-09
BearRiver,1986-04-30,46.809854,32.060403,1951-10,2010-09
BearRiver,1986-05-31,26.938953,25.310845,1951-10,2010-09
BearRiver,1986-06-30,1.330125,6.749559,1951-10,2010-09
BearRiver,1986-07-31,0.0,10.124338,1951-10,2010-09
BearRiver,1986-08-31,0.0,1.68739,1951-10,2010-09
BearRiver,1986-09-30,12.216274,0.0,1951-10,2010-09
BearRiver,1986-10-31,0.510458,1.68739,1951-10,2010-09
