arc,node,entity,basis,system,tier1_set,sq_mi,cover_frac,n_cells,n_nan_cells,nan_weight_frac,has_series,window,win_start,win_end,n_months,kge,nse,pbias,r,alpha,beta,seas_mismatch,ct_diff,sim_taf_yr,ref_taf_yr
I_CMBIE,CMBIE,uf_10,trained entity,,UF10,31.8448124247,1.001037292010328,8,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8187592307274468,0.8858493950576013,15.190101183269283,0.9472801301327095,0.9163643953098505,1.1519010118326927,0.05368906751335773,0.005784362382216024,37.82612525614384,32.837999852054885
I_CMBIE,CMBIE,uf_10,trained entity,,UF10,31.8448124247,1.001037292010328,8,0,0.0,True,train,1984-10,2014-09,360,0.812124931504164,0.84617052122653,13.899295871887867,0.9239284800591523,0.8990489096503835,1.1389929587188785,0.06425618428329574,0.04627703865406563,31.894460574571127,28.00233340375126
I_CMP001,CMP001,cdec_CSN,trained entity,,UF13,15.7076840199,1.0017978712385531,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5435309358843583,0.4939247842150304,-31.502206723966264,0.7434286140407644,0.7919225443407761,0.6849779327603374,0.2473693972029598,-1.1493738493527728,8.778481481680448,12.815714290684888
I_CMP001,CMP001,cdec_CSN,trained entity,,UF13,15.7076840199,1.0017978712385531,5,0,0.0,True,train,1999-04,2018-12,237,0.7016832131986575,0.6725381566605341,-24.011530555621093,0.8396866168466987,0.9249189470833825,0.759884694443789,0.24361862456863814,-1.1804891716436172,8.681538336157786,11.424810105581074
I_CMP014,CMP014,cdec_CSN,trained entity,,UF13,29.7308203078,0.9974012600769985,9,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5137450941814936,0.5233646245062804,-28.10253397347112,0.7600939212813411,0.6839087706794266,0.7189746602652888,0.13061746784955666,-0.543734925789078,32.68849109878206,45.46542862403605
I_CMP014,CMP014,cdec_CSN,trained entity,,UF13,29.7308203078,0.9974012600769985,9,0,0.0,True,train,1999-04,2018-12,237,0.6691155476898828,0.6981973966377426,-24.311047383809555,0.8521744779067726,0.8310934183974834,0.7568895261619044,0.19631832600969704,-0.8491387025820378,29.457757185412756,38.91949375332156
I_CMPFW,CMPFW,uf_10,trained entity,,UF10,25.0969974101,1.0008649844741633,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.2514245677197726,0.5197045250427905,-62.018422089723025,0.8802864768446864,0.5982471128450136,0.3798157791027698,0.1636459062293227,-0.22119083735802025,6.440156363635061,16.956000034670744
I_CMPFW,CMPFW,uf_10,trained entity,,UF10,25.0969974101,1.0008649844741633,7,0,0.0,True,train,1984-10,2014-09,360,0.19565549886815747,0.5012677776286322,-68.07192207584262,0.8563252810256603,0.5963305880813876,0.3192807792415739,0.17976464934928815,0.002552780443645375,4.616693646883944,14.459666685387493
I_COL003,COL003,cdec_MKM,trained entity,,UF14,20.6784256592,1.0015910282237719,5,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7673870775902333,0.8346975731810211,-4.478226366654042,0.9248587957135244,0.7844608621356883,0.9552177363334595,0.14464329691248012,-0.5114488567062567,49.38202776139548,51.697142842997394
I_COL003,COL003,cdec_MKM,trained entity,,UF14,20.6784256592,1.0015910282237719,5,0,0.0,True,train,1988-10,2018-12,363,0.7207804413188212,0.6166028662828422,-0.32322369759136715,0.7860082893587849,0.8206660590655238,0.9967677630240864,0.24702821468273803,-0.9522104079775184,45.19954626666859,45.34611565841377
I_COT033,COT033,uf_21,trained entity,,UF21,30.3173832183,0.9961527697988904,7,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.2498988588366322,0.030647908227782406,-93.42388819371155,0.5126465551425688,0.3277415016650229,0.06576111806288457,0.3477726934722336,-1.2200731477536486,0.34986793688910917,5.320285712821143
I_COT033,COT033,uf_21,trained entity,,UF21,30.3173832183,0.9961527697988904,7,0,0.0,True,train,1984-10,2014-09,360,-0.3022570350840208,0.06120558996304837,-94.73871656783378,0.6812724048652403,0.16528827501142457,0.05261283432166213,0.37185458013084816,-1.4513509859815104,0.2170279421354508,4.125000010617077
I_COW014,COW014,cdec_BND,trained entity,SRBB,UF6,384.0351176,1.0002284582102137,40,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8936163500132522,0.923663492629535,-5.187050095889877,0.9630990025101417,0.9147635729336969,0.9481294990411012,0.05621471316037129,-0.06617706207166485,449.2557231537601,473.8337153396436
I_COW014,COW014,cdec_BND,trained entity,SRBB,UF6,384.0351176,1.0002284582102137,40,0,0.0,True,train,1999-10,2018-12,231,0.8740261381462164,0.8875003996860437,2.684459919007307,0.9437603785322877,0.8905199271928955,1.0268445991900732,0.08787606474383224,0.04189255252590751,401.1655142717917,390.67792204215925
I_CSM035,CSM035,cdec_CSN,trained entity,,UF13,476.361044335,1.0005294626837336,55,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7510154054591588,0.8725813650580813,-0.4183793866312487,0.9553504498909873,0.7550872770503458,0.9958162061336875,0.08463489548445438,-0.26272231620532427,342.0218948316907,343.45885588627846
I_CSM035,CSM035,cdec_CSN,trained entity,,UF13,476.361044335,1.0005294626837336,55,0,0.0,True,train,1999-04,2018-12,237,0.7830421523824885,0.9078044083639799,13.20005885550637,0.964536253610442,0.8315100152651285,1.1320005885550637,0.11900329655182426,-0.39711453991655166,311.4841471711446,275.16253111558626
I_CWD018,CWD018,cdec_BND,trained entity,SRBB,UF6,394.941946735,0.9997774051184816,44,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8420744946127466,0.9227883181202514,15.01149446066031,0.9655785462956628,0.9650552982205304,1.150114944606603,0.051512513063693574,-0.15153865655741328,398.6311541875236,346.60114283088063
I_CWD018,CWD018,cdec_BND,trained entity,SRBB,UF6,394.941946735,0.9997774051184816,44,0,0.0,True,train,1999-10,2018-12,231,0.3739908959679449,0.6276438962589247,55.635682784852484,0.9347433153037112,1.2794566934961342,1.556356827848525,0.06242560105222735,-0.2695116394707142,436.7177685670231,280.60259752304523
I_CYN009,CYN009,cdec_FOL,trained entity,FOLS,UF11,1.27797359812,0.9901029227995297,3,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.6030280528148386,0.42699416855379313,5.76928243522734,0.8368148947174604,1.357251852737201,1.0576928243522734,0.20748970456873705,-1.020190132202182,2.823133241821442,2.669142852084977
I_CYN009,CYN009,cdec_FOL,trained entity,FOLS,UF11,1.27797359812,0.9901029227995297,3,0,0.0,True,train,1987-10,2018-12,375,0.71484330923333,0.5353839859733494,-3.2865490375376116,0.8323191295396832,1.2282921889006604,0.9671345096246239,0.2598521935442675,-1.1745629714028532,2.293578835878221,2.3715200037360193
I_DAVIS,DAVIS,cdec_ORO,trained entity,OROV,UF8,43.8743604741,1.001784693890689,11,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.5392628596121996,0.6576578699741293,-12.100355603092664,0.8642167193699841,0.5766800823703797,0.8789964439690734,0.15886833576064288,-0.19469395787524402,31.707913151599286,36.072857141973714
I_DAVIS,DAVIS,cdec_ORO,trained entity,OROV,UF8,43.8743604741,1.001784693890689,11,0,0.0,True,train,1987-10,2018-12,375,0.6434953329494719,0.7517155148241458,-6.904050007274322,0.8989754879923341,0.665152221222648,0.9309594999272568,0.14370733357483953,-0.021214442170484737,27.568317457150187,29.61279997605085
I_DBC024,DBC024,uf_21,trained entity,,UF21,31.9508949143,1.0031320878380585,6,0,0.0,True,WY1950-84,1949-10,1984-09,420,-0.12203965175928566,0.12033901055642726,-88.01590811528456,0.5497740204629812,0.46934988991407034,0.11984091884715439,0.24457276611718393,-0.9959584467867231,0.6569679160713439,5.4819999912487605
I_DBC024,DBC024,uf_21,trained entity,,UF21,31.9508949143,1.0031320878380585,6,0,0.0,True,train,1984-10,2014-09,360,0.04484093127920774,0.4162679733807636,-78.85850414954196,0.750215160937869,0.5224332370610955,0.2114149585045805,0.32948220595426136,-1.0749604623637783,0.8987249917354483,4.2510000148167215
I_DCC010,DCC010,cdec_FOL,trained entity,FOLS,UF11,9.70096734654,0.9978359616907656,4,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7264310806669317,0.665284963279407,-11.022107019603247,0.8196272571807869,0.8263424549356461,0.8897789298039676,0.1826992557333553,-0.7046285258580411,25.854179195788944,29.056857079640032
I_DCC010,DCC010,cdec_FOL,trained entity,FOLS,UF11,9.70096734654,0.9978359616907656,4,0,0.0,True,train,1987-10,2018-12,375,0.5290914658854737,0.5274336049245036,-26.18032748312534,0.7499117672956434,0.6988857880266447,0.7381967251687467,0.2264097708194565,-0.7247398035703387,21.646526454162146,29.32352002674341
I_DONLL,DONLL,cdec_NML,trained entity,ST,UF16,112.93927312,1.0033191253257403,19,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.7367568253490682,0.6205052714422971,18.164130816987115,0.8420442770858217,1.1065523053025985,1.1816413081698713,0.20191069780095125,0.1855187673468066,232.70568635152515,196.93428516978662
I_DONLL,DONLL,cdec_NML,trained entity,ST,UF16,112.93927312,1.0033191253257403,19,0,0.0,True,train,1987-10,2018-12,375,0.8742414994551979,0.8385048264602689,7.900655835574664,0.917740570528476,0.9470231139167623,1.0790065583557467,0.11490897031543333,-0.1812797150258323,191.94404490445106,177.88959985280036
I_DRC012,DRC012,uf_07,trained entity,,UF7,208.997747437,1.000835117562561,30,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.595978973041374,0.738533216893889,35.7331491962889,0.9574398594839694,1.183673159485904,1.357331491962889,0.029695702028745354,-0.17296603720286186,357.04217064340713,263.04714268956866
I_DRC012,DRC012,uf_07,trained entity,,UF7,208.997747437,1.000835117562561,30,0,0.0,True,train,1984-10,2014-09,360,0.3904735226190055,0.6245871800509517,53.383225265446946,0.9687574370547517,1.292522742560217,1.5338322526544694,0.02620812277419425,-0.1775237910343339,338.5602361757264,220.7283329645793
I_EBF001,EBF001,cdec_ORO,trained entity,OROV,UF8,955.672466225,1.000309105145893,99,0,0.0,True,WY1950-84,1949-10,1984-09,420,0.8051821977019566,0.8117275731619461,13.184607089709731,0.9070813866147072,0.8907446982165556,1.1318460708970974,0.11530842542449302,-0.3223636017371545,825.9320086095876,729.7211430481502
