entity_id,family,timescale,site_id,name,area_mi2,n_obs,n_scored,kge,nse,pbias,r,alpha,beta
usgs_11523200,usgs_daily,daily,11523200,TRINITY R AB COFFEE C NR TRINITY CENTER CA,148.0,20747,20747,0.6937889276100645,0.5921406131290046,2.4746963267047324,0.7702196990525791,0.7991173925901836,1.0247469632670474
usgs_11525500,usgs_daily,daily,11525500,TRINITY R A LEWISTON CA,718.96,4018,4018,0.6196630006713997,0.5051445111771907,28.388659726924732,0.8256055257945109,1.1834426349455403,1.2838865972692475
cdec_BND,cdec_daily,daily,BND,CDEC SBB full natural flow,8900.0,7029,7029,0.9193440139874521,0.8567749401486587,-0.013006597700615215,0.9264979746924707,0.9667912144427221,0.9998699340229938
cdec_CLE,cdec_daily,daily,CLE,TRINITY LAKE,692.86,11310,11310,0.6845241845072498,0.6618669702677242,-6.1084821422814795,0.8173696326506753,0.7501204616732109,0.9389151785771853
cdec_CSN,cdec_daily,daily,CSN,COSUMNES R AT MICHIGAN BAR,539.11,7211,7211,0.7867398255613679,0.8224103493321893,12.435463959063515,0.9098638489094049,0.8520429120303714,1.1243546395906352
cdec_FOL,cdec_daily,daily,FOL,CDEC AMF full natural flow,1885.0,10335,10335,0.7833969355565747,0.7771265702106072,-9.127338931052135,0.8840028345805271,0.8414733033691167,0.9087266106894787
cdec_ISB,cdec_daily,daily,ISB,CDEC KRI full natural flow,2074.0,11390,11390,0.791161485136729,0.7503667646648868,11.842849459976524,0.8708584655269908,0.8863748221955774,1.1184284945997651
cdec_MIL,cdec_daily,daily,MIL,CDEC SBF full natural flow,1675.0,11220,11220,0.8661958550532054,0.8512133289274235,3.2181366226525725,0.9233029547334943,0.8951883970157662,1.0321813662265256
cdec_MKM,cdec_daily,daily,MKM,CDEC MKM full natural flow,544.0,10251,10251,0.7316529946042901,0.7156854304798221,-5.459973875495295,0.8490731159915822,0.7849417299515183,0.9454002612450472
cdec_MRC,cdec_daily,daily,MRC,CDEC MRC full natural flow,1061.0,11033,11033,0.7828448559227565,0.7775970847009415,10.02980666363672,0.8845669607215535,0.8458187175070987,1.1002980666363673
cdec_NHG,cdec_daily,daily,NHG,CDEC NHG full natural flow,363.0,9315,9315,0.8519981477028647,0.7971356675525103,-8.032903807651337,0.894083218690319,0.9349351910624314,0.9196709619234865
cdec_NML,cdec_daily,daily,NML,CDEC NML full natural flow,900.0,11194,11194,0.8171782158921078,0.755344594885776,8.399447634009368,0.8714675458716251,0.9007622001227185,1.0839944763400937
cdec_ORO,cdec_daily,daily,ORO,CDEC FTO full natural flow,3607.0,11049,11049,0.7794198150235848,0.8203852911726308,5.567042165822563,0.9127195793412524,0.8052217919626096,1.0556704216582258
cdec_PNF,cdec_daily,daily,PNF,CDEC KGF full natural flow,1545.0,11358,11358,0.9002800771861806,0.862993116298614,2.4144828241759617,0.9291249161573046,0.9341379261982974,1.0241448282417596
cdec_SCC,cdec_daily,daily,SCC,CDEC SCC full natural flow,393.0,10520,10520,0.5388505952717724,0.6010169845825135,-9.023862477468956,0.8053191479010379,0.5918148337996669,0.9097613752253105
cdec_SHA,cdec_daily,daily,SHA,CDEC SIS full natural flow,6665.0,11379,11379,0.8658851560103462,0.8247132291344367,0.7853720757091999,0.9081793700788976,0.9025624180845463,1.007853720757092
cdec_TLG,cdec_daily,daily,TLG,CDEC TLG full natural flow,1538.0,10655,10655,0.7876192053502123,0.8054747084952157,-6.81157318859655,0.9020225050409921,0.8243120394356171,0.9318842681140346
cdec_TRM,cdec_daily,daily,TRM,CDEC KWT full natural flow,561.0,11046,11046,0.7424334046442587,0.7575240972635313,-11.427759079427474,0.876420602410596,0.8050402201046468,0.8857224092057253
cdec_YRS,cdec_daily,daily,YRS,CDEC YRS full natural flow,1108.0,10608,10608,0.8025503765439919,0.7562069250516354,6.360834394928408,0.8703643376570196,0.8653340153125304,1.0636083439492838
