basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,basin_id,basin_id2,key
CosumnesRiver,38.71875,-120.40625,1.37276967,1598,97891,1,1,1,1,38.718750_-120.406250
CosumnesRiver,38.71875,-120.34375,0.32249835,1799,108012,1,1,1,1,38.718750_-120.343750
CosumnesRiver,38.65625,-120.96875,0.32724932,420,28007,1,1,1,1,38.656250_-120.968750
CosumnesRiver,38.65625,-120.90625,1.98215051,416,28113,1,1,1,1,38.656250_-120.906250
CosumnesRiver,38.65625,-120.84375,1.98834486,476,30535,1,1,1,1,38.656250_-120.843750
CosumnesRiver,38.65625,-120.78125,2.55678312,581,43961,1,1,1,1,38.656250_-120.781250
CosumnesRiver,38.65625,-120.71875,2.64857248,642,49876,1,1,1,1,38.656250_-120.718750
CosumnesRiver,38.65625,-120.65625,2.7257094,735,56759,1,1,1,1,38.656250_-120.656250
CosumnesRiver,38.65625,-120.59375,2.7257094,927,64886,1,1,1,1,38.656250_-120.593750
CosumnesRiver,38.65625,-120.53125,2.7257094,1189,79628,1,1,1,1,38.656250_-120.531250
CosumnesRiver,38.65625,-120.46875,2.7257094,1453,89682,1,1,1,1,38.656250_-120.468750
CosumnesRiver,38.65625,-120.40625,2.7257094,1626,93544,1,1,1,1,38.656250_-120.406250
CosumnesRiver,38.65625,-120.34375,2.66325796,1789,98945,1,1,1,1,38.656250_-120.343750
CosumnesRiver,38.65625,-120.28125,1.79974894,2052,110811,1,1,1,1,38.656250_-120.281250
CosumnesRiver,38.65625,-120.21875,0.20503512,2275,116004,1,1,1,1,38.656250_-120.218750
CosumnesRiver,38.59375,-121.03125,0.03378361,237,11719,1,1,1,1,38.593750_-121.031250
CosumnesRiver,38.59375,-120.96875,1.29867928,319,12051,1,1,1,1,38.593750_-120.968750
CosumnesRiver,38.59375,-120.90625,2.7280861,303,18532,1,1,1,1,38.593750_-120.906250
CosumnesRiver,38.59375,-120.84375,2.7280861,407,26771,1,1,1,1,38.593750_-120.843750
CosumnesRiver,38.59375,-120.78125,2.7280861,494,36492,1,1,1,1,38.593750_-120.781250
CosumnesRiver,38.59375,-120.71875,2.7280861,625,44734,1,1,1,1,38.593750_-120.718750
CosumnesRiver,38.59375,-120.65625,2.72808611,759,53352,1,1,1,1,38.593750_-120.656250
CosumnesRiver,38.59375,-120.59375,2.72808611,964,62818,1,1,1,1,38.593750_-120.593750
CosumnesRiver,38.59375,-120.53125,2.72808611,1164,70804,1,1,1,1,38.593750_-120.531250
CosumnesRiver,38.59375,-120.46875,2.72808611,1348,81746,1,1,1,1,38.593750_-120.468750
CosumnesRiver,38.59375,-120.40625,2.72808611,1502,90141,1,1,1,1,38.593750_-120.406250
CosumnesRiver,38.59375,-120.34375,2.72808611,1677,97951,1,1,1,1,38.593750_-120.343750
CosumnesRiver,38.59375,-120.28125,2.51581244,1921,106090,1,1,1,1,38.593750_-120.281250
CosumnesRiver,38.59375,-120.21875,0.49805064,2169,114208,1,1,1,1,38.593750_-120.218750
CosumnesRiver,38.53125,-121.03125,1.56116374,136,0,1,1,1,1,38.531250_-121.031250
CosumnesRiver,38.53125,-120.96875,2.7251156,197,5733,1,1,1,1,38.531250_-120.968750
CosumnesRiver,38.53125,-120.90625,2.73045956,231,14413,1,1,1,1,38.531250_-120.906250
CosumnesRiver,38.53125,-120.84375,2.73045956,383,23971,1,1,1,1,38.531250_-120.843750
CosumnesRiver,38.53125,-120.78125,2.31888818,518,36617,1,1,1,1,38.531250_-120.781250
CosumnesRiver,38.53125,-120.71875,2.21402822,670,44695,1,1,1,1,38.531250_-120.718750
CosumnesRiver,38.53125,-120.65625,2.65211021,807,54100,1,1,1,1,38.531250_-120.656250
CosumnesRiver,38.53125,-120.59375,2.72997396,948,61933,1,1,1,1,38.531250_-120.593750
CosumnesRiver,38.53125,-120.53125,2.57541835,1120,69743,1,1,1,1,38.531250_-120.531250
CosumnesRiver,38.53125,-120.46875,2.01095093,1291,77268,1,1,1,1,38.531250_-120.468750
CosumnesRiver,38.53125,-120.40625,1.1707265,1466,90764,1,1,1,1,38.531250_-120.406250
CosumnesRiver,38.53125,-120.34375,0.73325242,1712,98181,1,1,1,1,38.531250_-120.343750
CosumnesRiver,38.53125,-120.28125,0.21655518,1939,106468,1,1,1,1,38.531250_-120.281250
CosumnesRiver,38.46875,-121.03125,0.11255048,123,224,1,1,1,1,38.468750_-121.031250
CosumnesRiver,38.46875,-120.96875,0.95187432,161,7059,1,1,1,1,38.468750_-120.968750
CosumnesRiver,38.46875,-120.90625,1.25301444,234,16186,1,1,1,1,38.468750_-120.906250
CosumnesRiver,38.46875,-120.84375,1.14605015,353,24588,1,1,1,1,38.468750_-120.843750
CosumnesRiver,38.46875,-120.78125,0.14408135,464,42490,1,1,1,1,38.468750_-120.781250
CosumnesRiver,38.46875,-120.65625,0.00909235,896,63256,1,1,1,1,38.468750_-120.656250
CosumnesRiver,38.46875,-120.59375,0.12973187,986,65094,1,1,1,1,38.468750_-120.593750
CosumnesRiver,38.46875,-120.53125,0.00754612,1088,71999,1,1,1,1,38.468750_-120.531250
FresnoRiver,37.46875,-119.71875,0.13162392,1610,68655,1,1,1,1,37.468750_-119.718750
FresnoRiver,37.46875,-119.65625,3.51444087,1574,72752,1,1,1,1,37.468750_-119.656250
FresnoRiver,37.46875,-119.59375,1.58987054,1770,79290,1,1,1,1,37.468750_-119.593750
FresnoRiver,37.40625,-119.78125,0.85539103,871,54770,1,1,1,1,37.406250_-119.781250
FresnoRiver,37.40625,-119.71875,4.22719386,949,54616,1,1,1,1,37.406250_-119.718750
FresnoRiver,37.40625,-119.65625,5.35133942,1191,60478,1,1,1,1,37.406250_-119.656250
FresnoRiver,37.40625,-119.59375,4.80184207,1432,70703,1,1,1,1,37.406250_-119.593750
FresnoRiver,37.34375,-119.78125,2.23827073,702,43322,1,1,1,1,37.343750_-119.781250
