basin,lat,lon,area_weight,elev,flowlen,soil_class,veg_class,key
SHA,41.34375,-120.90625,0.22005360999999998,1621.3076426694388,285132.53455223935,6,12,41.34375_-120.90625
SHA,41.34375,-120.84375,0.22005046,1795.054162031745,287058.6021358919,6,7,41.34375_-120.84375
SHA,41.34375,-120.34375,0.22005582,1776.3843208963979,383966.7829026744,6,2,41.34375_-120.34375
SHA,41.34375,-120.28125,0.22004012,2123.1790532108416,387165.5397152119,6,6,41.34375_-120.28125
SHA,41.34375,-120.21875,0.14337327,2464.667322925675,398672.72876764263,6,6,41.34375_-120.21875
SHA,41.28125,-120.90625,0.22024975,1444.4831232271547,274638.86902037344,6,12,41.28125_-120.90625
SHA,41.28125,-120.84375,0.22025547,1764.845601246589,279810.9951062736,6,6,41.28125_-120.84375
SHA,41.28125,-120.78125,0.22026894000000002,1880.7135665609503,301714.5571223523,6,6,41.28125_-120.78125
SHA,41.28125,-120.34375,0.22024568,1755.7808484597747,393661.20553760696,6,12,41.28125_-120.34375
SHA,41.28125,-120.28125,0.22025981,1894.5754310330153,410881.89294710645,6,6,41.28125_-120.28125
SHA,41.28125,-120.21875,0.19264916,2341.2204862974745,424448.9214590917,6,6,41.28125_-120.21875
SHA,41.21875,-120.84375,0.22047655000000005,1527.0905182433232,276460.2590409274,6,9,41.21875_-120.84375
SHA,41.21875,-120.78125,0.22045353999999998,1924.3854479270326,289474.25612380734,6,6,41.21875_-120.78125
SHA,41.21875,-120.71875,0.22047714000000002,1875.955625331497,307868.28821627493,6,7,41.21875_-120.71875
SHA,41.15625,-120.84375,0.22067557000000002,1540.0562910067479,275853.2569409019,6,9,41.15625_-120.84375
SHA,41.15625,-120.78125,0.22067376,1731.7566201799434,285996.2281781939,6,9,41.15625_-120.78125
SHA,40.96875,-121.09375,0.22131887,1688.1317750718679,217777.1709748021,6,9,40.96875_-121.09375
SHA,40.96875,-121.03125,0.22131024,1724.402755832717,233366.80912979902,7,6,40.96875_-121.03125
SHA,40.96875,-120.96875,0.22130423999999999,1683.819126014034,240771.78353139554,10,12,40.96875_-120.96875
SHA,40.90625,-121.15625,0.2215268,1367.6846739085292,206002.81327071937,7,16,40.90625_-121.15625
SHA,40.90625,-121.09375,0.22151310000000002,1511.7512888853976,216982.32474327701,7,16,40.90625_-121.09375
SHA,40.90625,-121.03125,0.2215319,1435.6358742916934,225149.90789317476,8,16,40.90625_-121.03125
SHA,40.90625,-120.96875,0.22151836000000003,1520.0758621091272,232779.64304299653,7,16,40.90625_-120.96875
SHA,40.53125,-121.53125,0.08250104,2063.254267097724,223875.42779121333,1,3,40.53125_-121.53125
SHA,40.53125,-121.46875,0.22278257,1995.5416163840823,218365.12759916537,1,3,40.53125_-121.46875
SHA,40.46875,-121.53125,0.00546867,2890.0,232281.0,6,16,40.46875_-121.53125
SHA,40.46875,-121.46875,0.08944647,2329.6145127918408,227771.15410255987,1,3,40.46875_-121.46875
SHA,41.21875,-122.40625,0.22046995,1690.5804022271516,87174.78831541442,1,3,41.21875_-122.40625
SHA,41.21875,-122.34375,0.22046810000000003,1454.4412554922908,85130.23312361288,1,3,41.21875_-122.34375
SHA,41.21875,-122.28125,0.22047598,1020.0396488089089,82473.07677893076,1,3,41.21875_-122.28125
SHA,41.15625,-122.40625,0.22067561,1351.2821367526751,75807.63903514303,6,12,41.15625_-122.40625
SHA,41.15625,-122.34375,0.22068325,1021.4773485980471,71425.6762607946,6,12,41.15625_-122.34375
SHA,41.15625,-122.28125,0.22066987000000002,917.8490124184149,73331.79670151616,1,3,41.15625_-122.28125
SHA,41.15625,-122.21875,0.22067887,1197.280754654943,73252.7159040646,1,3,41.15625_-122.21875
SHA,41.15625,-122.15625,0.22067683999999999,969.5033868529204,72901.36574522275,6,3,41.15625_-122.15625
SHA,41.09375,-122.40625,0.22087124,1290.9760752916495,60975.58400967007,1,12,41.09375_-122.40625
SHA,41.09375,-122.34375,0.22088950999999998,817.9654060077366,59195.158090123885,6,3,41.09375_-122.34375
SHA,41.09375,-122.28125,0.22088778,1069.0,66454.0,1,3,41.09375_-122.28125
