key,sand_0_5,sand_5_15,sand_15_30,sand_30_60,sand_60_100,sand_100_200,clay_0_5,clay_5_15,clay_15_30,clay_30_60,clay_60_100,clay_100_200,ksat_0_5,ksat_5_15,ksat_15_30,ksat_30_60,ksat_60_100,ksat_100_200,theta_s_0_5,theta_s_5_15,theta_s_15_30,theta_s_30_60,theta_s_60_100,theta_s_100_200,polaris_gapfill,EVC,EVH,EVC_cover_pct,EVH_height_m,dem_elev,slope_deg,aspect_sin,aspect_cos,curvature,relief_m,lai_mean,lai_min,lai_max,lai_amp,lai_peak_doy
37.21875_-119.15625,56.45962689190927,57.44730040871885,58.40361749773195,59.246612481111605,59.71068916095079,63.05451471001439,11.07972115172437,11.872958445690088,13.782921102625378,14.261478815558394,13.237756960490751,12.15430739857036,1.045100976376844,1.0106777386552483,0.9847081434091872,0.9974409534028296,0.714763903273986,0.3772260489372107,0.5078570135599058,0.4882201714628547,0.4433135656562783,0.44057989543711645,0.44000842126868883,0.44366417058120816,0.0,152.88165680473372,132.50295857988166,33.57396449704142,11.043786982248522,2397.6250101123337,7.829111038304939,-0.3073045959674258,-0.951611204903188,-5.333799160370969e-06,169.762608396939,0.9746774657895061,0.46940828402366863,1.4955325443786982,1.0261242603550296,209
37.21875_-119.09375,64.92573095919818,66.40784770356127,69.56857076340174,71.9609343850401,75.26107305041431,78.4871127111672,8.186324885610999,6.1706662089867,6.908293338569663,7.191929630273898,6.1373876869325805,5.273135396150442,1.302719235420227,1.1917848542949858,1.0516409696735574,1.0591607525856537,0.721477659011381,0.6599858492260149,0.48984784998837305,0.4645608598311272,0.4388389446326261,0.43582408438772846,0.4262577498100213,0.42398092432840334,0.01775147928994083,163.3550295857988,142.69230769230768,35.5207100591716,12.248520710059172,2684.5146195451184,6.0951120197411965,-0.3965966638081106,-0.9179929663435753,-1.0885800989031577e-05,107.36073900264103,0.7408179327273676,0.3444970414201184,1.187603550295858,0.8431065088757396,209
37.21875_-118.84375,61.9652746527858,61.69974105880105,63.082043811414366,64.55703608947393,71.32969967994464,75.32417383137539,9.921309596688085,9.059772037190093,10.70503061128086,12.084818713763761,9.264271607765785,7.6817912618084065,1.1021327683206141,1.0341051111559896,0.8856686032184306,0.7172968709654004,0.6502298271206356,0.5704179022946125,0.47173503058901906,0.45769767031161745,0.4448706897405478,0.44654121818627124,0.42940474843837806,0.42450603472410575,0.11834319526627218,137.31952662721895,124.29585798816568,20.09467455621302,5.329585798816568,2877.3977325258875,18.15200949530559,-0.12750328941620653,-0.9918381476773552,0.0001019683552033067,294.8917814609111,0.38934285482164377,0.1395562130177515,0.7128402366863905,0.573284023668639,217
37.15625_-119.15625,54.495138811641894,55.26089662630883,55.90939638036242,56.710773310012364,57.787301509338015,61.86223067334418,11.531798763388007,12.519463299294195,14.425298891123935,15.07036988340186,13.92433100868259,12.615130207242345,1.0176628718714742,0.9592434400637474,0.9106414829485515,0.9237529705967423,0.7072060026625204,0.30658321803402616,0.5104174257735529,0.4930184785078263,0.4508076438889701,0.44705926031755977,0.44535037116891535,0.44834768031475813,0.0,162.9940828402367,139.02366863905326,40.917159763313606,14.8698224852071,2408.720302965514,7.014744773201492,0.3993399938321756,-0.9168029064777871,2.5502226944553415e-05,126.81371880516167,1.0358836569169256,0.4699408284023669,1.5694970414201184,1.0995562130177514,209
37.15625_-119.09375,61.427531338302344,62.64029562684911,65.0707086642113,66.67493422920182,69.04938721515724,72.6271759800657,9.70313993149255,8.401477889901788,9.564910666477045,10.038465768627866,8.932707954440597,7.750061245006923,1.1584077230571994,1.106843208243861,1.0369621865319076,1.0006726288054821,0.8028924871214043,0.7320850415254486,0.48560587188901283,0.4629613524357948,0.43432932457274936,0.4343185579988378,0.4283608236961816,0.42694278634511507,0.011834319526627219,159.72781065088756,140.301775147929,32.14792899408284,10.064497041420118,2739.628959700906,8.97004850092135,0.28350743854485444,-0.9589700372220894,6.069530803605811e-06,145.06040930650502,0.6278667275340396,0.24899408284023672,1.0685798816568048,0.8195857988165681,217
37.40625_-119.15625,63.81332216883552,63.36098087468796,61.87624824117626,62.80963721642127,67.61259832890076,71.66051036225268,8.609102947472115,9.675932901145439,11.688433187247734,13.071109097384841,10.372321700203349,8.673535520508445,1.1216792086877767,1.0443740187312018,0.8900729253799957,0.6587820760244448,0.45939554763439844,0.3845499661591279,0.48976941133391927,0.47669468687836236,0.4584060984955737,0.45825461452529276,0.4480306698373083,0.4460292601373774,0.0,185.49704142011834,162.6508875739645,31.059171597633135,5.624852071005917,2065.059407070544,11.35784477426833,-0.8980779994599797,0.4398362273459983,1.6886510656718013e-05,200.21807324471106,1.0085898789938572,0.553076923076923,1.441508875739645,0.888431952662722,201
37.21875_-118.96875,63.1404382378392,63.55256501598471,63.990355339276014,65.90607881263868,71.40740425064719,75.51163758046528,8.9300601567037,8.685753019603752,10.305528449588978,11.419680908586852,8.376769135689594,6.9441757766452765,1.1178877096204363,1.0558447499246992,0.9355893803859604,0.7927275923405879,0.645452106856471,0.6724577084536383,0.49052635381913046,0.4693793113062368,0.45155668364474055,0.45177560586195725,0.43687686500464673,0.43531815540155716,0.011834319526627219,158.54437869822485,138.85798816568047,33.094674556213015,11.054437869822486,2778.436698236409,8.051196866100486,-0.7870661700777706,0.616868579131009,-2.635343150790558e-05,220.86063014542805,0.6605598960096408,0.30103550295857995,1.085887573964497,0.7848520710059171,217
37.21875_-118.90625,65.90225635054549,65.24879692574224,64.53075879565357,65.40948319294044,72.63897242348575,77.59969573613455,8.48393622093652,8.416366213877525,10.284855797445985,11.628898459778735,8.140263426586015,6.494719041875128,1.1074606178427588,1.038340914002537,0.8718789408765953,0.6247768657800008,0.6410607494766543,0.5341330733833581,0.4687201470665678,0.4586758317326653,0.450272723062504,0.4517410570347803,0.4354961630860729,0.43356157001659007,0.047337278106508875,147.84615384615384,133.6508875739645,21.49112426035503,5.937869822485207,2820.880001271265,12.285532993120176,-0.9687428652525526,-0.2480670494488834,-5.0445734025525355e-06,327.85065871790937,0.44133243934379296,0.20153846153846156,0.7465384615384616,0.545,217
37.53125_-119.34375,63.60614020443527,63.69888994115344,67.41862456191926,69.00789768738154,72.49329577113045,75.64037325255264,9.4336606313491,7.021630986202398,7.988423236023039,9.018089257753813,8.157325618365812,6.965417809034946,1.2262987434511354,1.1678933056853933,1.0912893125291407,0.9709542827272909,0.892510931035118,0.9302587428918252,0.48428097931591013,0.4674255569305646,0.44486834276357345,0.4463078141565154,0.43360552438617456,0.428823467718779,0.0,160.23076923076923,142.97041420118344,25.035502958579883,5.538461538461538,2496.8100195890347,9.484555115705362,0.6144226673372986,0.7889770502759376,1.0051483042783852e-06,240.71718740969993,0.5996568569610288,0.24239644970414204,0.991094674556213,0.748698224852071,209
37.53125_-119.28125,61.07081971930329,60.754863897018886,59.829699792805506,61.03478304168882,68.0125840994028,72.14201693563066,9.84253246826533,9.359068193379239,11.593345647732887,14.05791951918743,10.407363025394417,8.322434706095407,1.1252927766043759,1.055335485370907,0.8943421126470058,0.5826018930539577,0.4961753470172896,0.5171144039056005,0.4770767046855046,0.4667089752544313,0.4563094130634556,0.45784664101149203,0.44081584059980494,0.4363318628813388,0.0,223.9171597633136,198.60355029585799,32.69230769230769,2.9266272189349114,2198.529032509708,4.893189821278628,0.9156925704842426,0.4018794798941101,3.170282036481753e-05,91.91794184701672,0.9791728984797987,0.45322485207100593,1.4842307692307692,1.0310059171597632,209
37.53125_-119.21875,64.08127790372048,65.5084340473604,65.76847877728163,65.65510985696105,70.85451480481751,74.47697906945584,9.058918150218986,8.016829549208195,9.288176587347449,10.782705898115621,8.435839806082686,6.992156042149786,1.179589153041501,1.0955955424957726,0.970731360407976,0.7607903917314562,0.7276710701456084,0.7699366624759146,0.4767648464829259,0.4633695119936791,0.4428699921221423,0.44821541267033865,0.4347513660171328,0.4293524264936616,0.005917159763313609,214.69230769230768,189.96449704142012,33.07692307692308,3.300591715976332,1989.4844255616679,12.838867336276872,0.6135125395864133,0.7896849775513206,-9.106323515924911e-06,274.9354456931214,1.064879088962437,0.5646153846153846,1.5655029585798816,1.000887573964497,209
37.46875_-119.34375,64.78674379608334,67.42468273004836,66.69922552165195,66.45823719092375,70.90889999570226,75.01018316505929,9.017418116507445,7.6552284694987645,8.80843040576348,10.589978271687524,8.394591294802153,6.733078922040364,1.2124033397471412,1.1338380222489848,1.0154107973067719,0.824364574526894,0.7855074766626549,0.8316478637438378,0.4825729399743165,0.4625501523356466,0.4374807242458389,0.4433635363917379,0.4318676292896271,0.4252179564808953,0.0,198.4792899408284,173.9526627218935,33.3905325443787,5.865680473372781,2013.4173648992235,7.4623187213412585,0.7569496549021443,-0.6534731975708911,-2.7699954283498895e-05,173.7535105467568,1.0995283600691979,0.5637573964497041,1.6110650887573963,1.047307692307692,201
37.46875_-119.28125,65.1645359739044,65.94098225429919,66.84103330352603,67.34984017547066,72.50062786756888,76.53246332202437,8.765180005124336,7.259963834074122,8.68058590493964,10.037175161598702,7.723731943841517,6.284916585013711,1.2004208702307482,1.128197055949262,1.008254453980711,0.8384707460301162,0.8081184227967403,0.8149187199374628,0.4721127993609073,0.4601830187633898,0.4404924794061649,0.4457973169504538,0.4322206370929289,0.4277363676996626,0.0,196.74556213017752,174.12426035502958,31.106508875739646,4.986390532544379,2018.1269068971894,8.136867747585354,0.6076897571222568,0.7941745142528137,-7.376137569072687e-05,160.33107855889548,0.9802997121695415,0.4966863905325444,1.4609171597633137,0.9642307692307693,209
37.46875_-119.21875,65.38809763891457,65.82214901715341,63.8294572548048,63.338469567383534,68.81513679098096,72.63068166428064,8.427024748198379,8.843532327364182,10.281359676778669,11.531368776185978,9.033053415061454,7.091995840241923,1.0452389812328406,0.9672103434272067,0.7848584104395477,0.4810175176643761,0.4312621326180252,0.4196955096968532,0.4695861212600618,0.4564585750977668,0.44768412472933705,0.4545917389308207,0.4414998384622427,0.43479127679350815,0.005917159763313609,171.97041420118344,153.10059171597632,26.532544378698226,4.249112426035503,1623.524483404216,15.503108804998684,0.9473674541111144,-0.32014825767294974,8.208863490575119e-05,214.59791125645714,0.8354759599668067,0.46189349112426037,1.1904437869822486,0.7285502958579883,169
37.21875_-119.03125,63.34151312021109,64.49981025831234,66.81752648438223,69.03207406489807,73.43080547716491,77.01364063511234,8.70120860415803,7.350877409855995,8.529732952456502,9.281270494827858,7.204392092115075,5.799207899697434,1.2171088360117737,1.121420480972211,0.9839272591665652,0.9588612721428363,0.6576131225051083,0.6579928796892688,0.49472626091460503,0.46890720566348915,0.44406883392108265,0.442495219277207,0.4297837629120731,0.4274731239623572,0.01775147928994083,176.63905325443787,154.84023668639054,36.37869822485207,11.176923076923078,2858.8384583602997,5.203270993281044,0.38745107208482565,-0.921890268275091,2.8553134967771373e-06,93.42574450285933,0.6968751615983618,0.3190828402366865,1.1798816568047337,0.8607988165680471,217
37.15625_-119.03125,63.1845364090959,63.73775367059651,65.28645330350075,67.73157795787563,72.6694621926934,76.04392567470934,9.039996845482369,8.082731207799629,9.245626682007806,10.024808885077753,7.938433742029427,6.632916116150173,1.1415739144093893,1.078489838090874,0.9611938837364581,0.8600089569416272,0.653012542439812,0.6931511317682866,0.48778862713356697,0.46601648531721895,0.4478816673953152,0.44588459419780935,0.43350966583342243,0.43024218999422514,0.029585798816568046,161.55029585798817,141.89940828402368,33.61538461538461,10.785207100591716,2786.181418153661,6.6755544607610195,0.22040572987442286,0.9754082807924704,-1.5627876226286584e-05,139.39327552599337,0.6376953139860199,0.2952958579881657,1.0481360946745564,0.7528402366863907,217
37.15625_-118.96875,62.992515699397885,64.26729773346489,66.75851347883777,68.6857259851941,72.43828433787328,76.27388950776772,9.125081588530682,7.308183360734635,8.281789624126706,9.066641231260355,7.4560508340068115,6.008275662653545,1.1786953069754607,1.112647830029211,1.0187612891902584,0.9646986877688994,0.7092239664503809,0.7866076745710077,0.4848564739763384,0.4589100608811576,0.4364622141835252,0.4363827895836012,0.42619346179200346,0.42455762183877843,0.023668639053254437,169.11242603550295,146.42011834319527,38.36094674556213,12.398816568047337,2733.770785179364,7.7938017058109805,0.9149379004276053,-0.4035946461006706,-2.438018369145462e-05,146.2634602969515,0.7848833171170789,0.38899408284023673,1.2176923076923079,0.8286982248520711,217
37.53125_-119.15625,62.728841431747526,64.8433667922161,63.91602709166397,64.7428008762337,69.86657173111594,73.71405713233722,9.394352932653483,8.459373867723363,9.915169698952218,11.555757564905832,9.320862345441558,7.831850625354157,1.1475183924979713,1.0665872756546066,0.915124414367436,0.6751790668749245,0.6714982554625125,0.7395720583491424,0.49528985139886306,0.46700636910263604,0.4450352206032657,0.45210963734508264,0.4373583703704134,0.4309917340969898,0.0,181.04142011834318,158.72189349112426,32.928994082840234,7.520710059171598,2082.227141792252,15.950639551313177,0.011669004626968066,-0.9999319148477139,2.981650194557183e-05,332.2499845094305,1.1402673908852399,0.6043491124260355,1.7473076923076925,1.142958579881657,201
