center,start,end,source,metric,value,n_basins
1938-03-31,1923-03-31,1953-02-28,11obs,seas_mismatch,0.04313821099265709,11
1938-03-31,1923-03-31,1953-02-28,9unimp,kge,0.8715789617837044,9
1938-03-31,1923-03-31,1953-02-28,9unimp,nse,0.8820336394339554,9
1938-03-31,1923-03-31,1953-02-28,9unimp,pbias,-1.029506913101278,9
1938-03-31,1923-03-31,1953-02-28,9unimp,seas_mismatch,0.05708852355301548,9
1938-03-31,1923-03-31,1953-02-28,vic_11obs,kge,0.7077479288475601,11
1938-03-31,1923-03-31,1953-02-28,vic_11obs,nse,0.807237102318259,11
1938-03-31,1923-03-31,1953-02-28,vic_11obs,pbias,14.698296761088995,11
1938-03-31,1923-03-31,1953-02-28,vic_11obs,seas_mismatch,0.07263603561722604,11
1938-03-31,1923-03-31,1953-02-28,vic_9unimp,kge,0.7077479288475601,9
1938-03-31,1923-03-31,1953-02-28,vic_9unimp,nse,0.807237102318259,9
1938-03-31,1923-03-31,1953-02-28,vic_9unimp,pbias,21.926261209094545,9
1938-03-31,1923-03-31,1953-02-28,vic_9unimp,seas_mismatch,0.08302873922689472,9
1938-04-30,1923-04-30,1953-03-31,11obs,kge,0.8745964661620427,11
1938-04-30,1923-04-30,1953-03-31,11obs,nse,0.891769108701351,11
1938-04-30,1923-04-30,1953-03-31,11obs,pbias,-0.3236185891825309,11
1938-04-30,1923-04-30,1953-03-31,11obs,seas_mismatch,0.042846238470020746,11
1938-04-30,1923-04-30,1953-03-31,9unimp,kge,0.8722990845870067,9
1938-04-30,1923-04-30,1953-03-31,9unimp,nse,0.8820925163237416,9
1938-04-30,1923-04-30,1953-03-31,9unimp,pbias,-0.8938881312053923,9
1938-04-30,1923-04-30,1953-03-31,9unimp,seas_mismatch,0.05798562603880892,9
1938-04-30,1923-04-30,1953-03-31,vic_11obs,kge,0.709584335585681,11
1938-04-30,1923-04-30,1953-03-31,vic_11obs,nse,0.8067103136662181,11
1938-04-30,1923-04-30,1953-03-31,vic_11obs,pbias,14.605274756581313,11
1938-04-30,1923-04-30,1953-03-31,vic_11obs,seas_mismatch,0.0725685934012074,11
1938-04-30,1923-04-30,1953-03-31,vic_9unimp,kge,0.709584335585681,9
1938-04-30,1923-04-30,1953-03-31,vic_9unimp,nse,0.8067103136662181,9
1938-04-30,1923-04-30,1953-03-31,vic_9unimp,pbias,21.84914896480001,9
1938-04-30,1923-04-30,1953-03-31,vic_9unimp,seas_mismatch,0.08295390972396988,9
1938-05-31,1923-05-31,1953-04-30,11obs,kge,0.8712045328479674,11
1938-05-31,1923-05-31,1953-04-30,11obs,nse,0.8915971775661351,11
1938-05-31,1923-05-31,1953-04-30,11obs,pbias,-0.22922498469751493,11
1938-05-31,1923-05-31,1953-04-30,11obs,seas_mismatch,0.04254299709804781,11
1938-05-31,1923-05-31,1953-04-30,9unimp,kge,0.8729874611154005,9
1938-05-31,1923-05-31,1953-04-30,9unimp,nse,0.8821427441521915,9
1938-05-31,1923-05-31,1953-04-30,9unimp,pbias,-0.8072064185569884,9
1938-05-31,1923-05-31,1953-04-30,9unimp,seas_mismatch,0.060127527443866687,9
1938-05-31,1923-05-31,1953-04-30,vic_11obs,kge,0.7139722171612173,11
1938-05-31,1923-05-31,1953-04-30,vic_11obs,nse,0.8074668506121928,11
