arc,node,source,n_months,kge,nse,pbias,r
I_DCT050,DCT050,vic,1167,0.3266733608720297,0.5460775918754945,-39.25751842285765,0.8413351836927612
I_DED044,DED044,vic,1167,0.26322187137680586,0.45992953189203223,-43.143377311177076,0.7771551998370462
I_DEE023,DEE023,vic,1167,0.6341194150874805,0.595140111814996,-15.126458866537174,0.7750312504580971
I_DER001,DER001,vic,1167,0.7291409295630511,0.7411730276063272,7.711103255722012,0.9220123244120665
I_DER004,DER004,vic,1167,0.17336053749293778,0.21721494607794467,44.483431318876505,0.9395117911338234
I_DHC021,DHC021,vic,1167,0.7532542210843549,0.7123752802916237,16.467524964115142,0.8874158907134085
I_DONLL,DONLL,vic,1167,0.5465482894689262,0.4547663411462458,20.24888850643139,0.8630085821038869
I_DPC008,DPC008,vic,1167,0.10109900183021803,0.5677243964844698,88.00928847793054,0.8184236383754016
I_DRC012,DRC012,vic,1167,-0.24254428024834795,-0.7240446731001096,62.70705331905497,0.940875912524433
I_DSC035,DSC035,vic,1167,0.6574657804258095,0.796367115191071,28.759464823155465,0.9347884215294394
I_EBF001,EBF001,vic,1167,0.6190044897491589,0.7701144870038887,32.92337666256249,0.9403272302377058
I_EBTML,EBTML,vic,1167,-0.7478788646311223,-1.9073085234281213,121.14159946340092,0.8672887806354652
I_ECHOL,ECHOL,vic,1167,0.5839537728599384,0.5292489688884081,-37.1008188761799,0.8142138183766904
I_ELD027,ELD027,vic,1167,0.8504207160582697,0.8286975042328801,-11.061884812468342,0.9133284028945918
I_ELENR,ELENR,vic,1167,0.7496130671936103,0.7543991469410727,-20.89472689973919,0.9082197575241374
I_ENGLB,ENGLB,vic,1167,0.6129653994819644,0.37127775407025343,23.951174530807393,0.7541313160577311
I_EPARK,EPARK,vic,1167,0.7775749660569065,0.6793189695755505,-2.792207236977792,0.8791586791548489
I_ESTMN,ESTMN,vic,1167,0.547347872126182,0.8013180933348149,41.06266733835847,0.9431815994190493
I_FOLSM,FOLSM,vic,1167,0.6205497120809855,0.45333790830245113,-19.154287386984308,0.7015201648061381
I_FRDYC,FRDYC,vic,1167,0.8183396450240652,0.7361186791437152,-5.370347271912555,0.8927710231564623
I_FRMAN,FRMAN,vic,1167,0.41578338563707196,0.40012525395555765,52.51676443634544,0.7440750235620405
I_FRMDW,FRMDW,vic,1167,0.8976950286317151,0.7981802193006452,0.2099994133444421,0.9026324952326016
I_FRNCH,FRNCH,vic,1167,0.7022545618374176,0.6101399501010873,-22.43149295124438,0.8507733135215854
I_FRS046,FRS046,vic,1167,0.21605806483085443,0.47690631362283264,-45.28126011442292,0.8786765678904912
I_GERLE,GERLE,vic,1167,0.8455474112733335,0.7288901219742561,-6.7382859791313985,0.8627983740472085
I_GRZ012,GRZ012,vic,1167,0.09777852563116773,0.3198545270166695,85.24433912938623,0.7118353540388499
I_GZL009,GZL009,vic,1167,0.7189368516834661,0.4928822189082108,-12.070234566340432,0.7950929061371584
I_HHOLE,HHOLE,vic,1167,0.821732647556032,0.8031821553030426,-14.470581596637865,0.9048580456305182
I_HNSLY,HNSLY,vic,1167,-0.18061054991286785,0.07291220122623676,94.99529901105781,0.9256718156701642
I_HON021,HON021,vic,1167,0.538382151754928,0.648695778290109,30.374793652861005,0.9227107376105406
I_HTCHY,HTCHY,vic,1167,0.644470481176314,0.6779639422256615,1.8349319206751387,0.9252499652573188
I_ICEHS,ICEHS,vic,1167,0.6646208561999124,0.6552483923665339,-23.75620749320249,0.8278846404848083
I_INDVL,INDVL,vic,1167,0.905953709919151,0.8185271438469011,0.5159412741571305,0.907787793555534
I_ING008,ING008,vic,1167,0.2747509645506473,0.5271532488989585,58.34554488286406,0.7532407772611334
I_JBP006,JBP006,vic,1167,-0.29224171408130606,0.039728387453076386,-78.38681405195199,0.5238898235657192
I_JKSMD,JKSMD,vic,1167,0.706205699412584,0.6581263696837936,11.07016006473661,0.890187824115975
I_JNKSN,JNKSN,vic,1167,0.5945060389146941,0.7449245814635224,32.11609609848895,0.9327880423726854
I_LCBRF,LCBRF,vic,1167,0.6351294723717373,0.6365189095243402,-24.309460478183382,0.8191469647829565
I_LCC038,LCC038,vic,1167,0.4653544500913762,0.6751311484693214,40.66602654420122,0.9420741849870702
I_LDC029,LDC029,vic,1167,0.49878774211659815,0.7014123754196209,39.80783337096168,0.9385566385209803
I_LGRSV,LGRSV,vic,1167,0.7252243906910472,0.6428230498755141,-18.608074776722706,0.8206115283629104
I_LJC022,LJC022,vic,1167,0.2379587119520432,0.4634280237308047,-44.147554852727794,0.8086757823660978
I_LKVLY,LKVLY,vic,1167,-0.5022093834965538,-2.280138039019606,84.01486563054986,0.6895807808335644
I_LLOYD,LLOYD,vic,1167,0.7406885431979687,0.7852219776061309,-22.558209447230468,0.9207122221071214
I_LNG012,LNG012,vic,1167,0.7929118483946905,0.737160677980364,-13.05870925922862,0.864303329898548
I_LOONL,LOONL,vic,1167,0.5415676874229176,0.6318674862218385,-38.30664547233575,0.8585429243483852
I_LOSVQ,LOSVQ,vic,1167,-0.5830268685616808,-0.07339135477358782,152.55139025179292,0.7157865414947658
I_LPC007,LPC007,vic,1167,0.16036186715728473,0.4448388466473763,64.74177300929404,0.7118633198691736
I_LRB004,LRB004,vic,1167,0.42049104158705275,0.5401474368603765,-47.33177291832324,0.8306968962249772
I_LWSTN,LWSTN,vic,1167,0.010036411248189325,0.059029755638398185,-45.209155401877275,0.3321280823786231
I_LYONS,LYONS,vic,1167,0.48179677390510267,0.16453118066105998,20.14473266616469,0.7736852051451871
I_MCD055,MCD055,vic,1167,0.4394738686190174,0.4521171522942137,-16.664593970057282,0.6854778290836312
I_MCLRE,MCLRE,vic,1167,0.7374686931212526,0.8205231318254145,16.53614812574925,0.94832142109084
I_MERLC,MERLC,vic,1167,-0.23891674730219825,-0.6481276842124166,77.55634974620187,0.8769196150386808
