period,window,set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
post1950,WY1950–2019,11obs,YRS,11obs,unimp,831,0.8670676382980546,0.936467432450963,9.049930353204113,0.9778430841556167,214.04077687077807,196.27777493989856,0.02759771524465752,5.924530124819434,6.094615471555284,-0.17008534673585007
post1950,WY1950–2019,11obs,YRS,vic,unimp,831,0.771718270021283,0.8545537109583814,9.034215778649438,0.9597297637191776,214.0099326535009,196.27777493989856,0.09427368366851636,5.712551584573628,6.094615471555284,-0.3820638869816557
post1950,WY1950–2019,15cdec,BND,15cdec,unimp,831,0.8155613325738068,0.917952797076282,-17.173031562715042,0.9798620695677347,594.3632180796271,717.5962482916032,0.09655605166151567,5.572226665202621,5.810995608067088,-0.2387689428644677
post1950,WY1950–2019,15cdec,BND,vic,unimp,831,0.7842485160229737,0.8952838851306204,1.9213105799136247,0.9758216746264039,731.3835009310931,717.5962482916032,0.06289931423763062,5.6831244081020165,5.810995608067088,-0.1278711999650719
post1950,WY1950–2019,15cdec,FOL,15cdec,unimp,831,0.9315651003878477,0.9007501629418917,-4.124180964565121,0.9500618220228559,217.85061698188372,227.22164897633678,0.09519769136322266,5.872300059415424,6.201910371205079,-0.32961031178965516
post1950,WY1950–2019,15cdec,FOL,vic,unimp,831,0.8159886070658893,0.8483210089478527,7.552837072880942,0.947095532535792,244.38332991783295,227.22164897633678,0.10603395652641248,5.800735197974137,6.201910371205079,-0.4011751732309419
post1950,WY1950–2019,15cdec,MIL,15cdec,unimp,831,0.86835786662836,0.8792417336766507,-11.062611587426598,0.9420396650127429,131.53353712973433,147.8945351077331,0.05443293783235187,7.474727841945786,7.382047544686591,0.09268029725919469
post1950,WY1950–2019,15cdec,MIL,vic,unimp,831,0.8151665855527049,0.8373901588720185,-6.842838023877332,0.9425942504715897,137.77435162414454,147.8945351077331,0.06704361343609239,7.197207600537582,7.382047544686591,-0.18483994414900895
post1950,WY1950–2019,15cdec,MKM,15cdec,inflow_sum,831,0.9264536311861575,0.8831963072643836,-1.9109494844980637,0.9401578721398794,62.567452375450955,63.786377833846835,0.07873247817199083,6.592045277871855,6.810164778326662,-0.2181195004548071
post1950,WY1950–2019,15cdec,MKM,vic,inflow_sum,831,0.8590712004239748,0.814618454476119,7.362349220978181,0.9202565292085307,68.48255372538726,63.786377833846835,0.1056259467131845,6.432593745848672,6.810164778326662,-0.37757103247798973
post1950,WY1950–2019,15cdec,MRC,15cdec,unimp,831,0.9607798054225125,0.9280574492842124,-1.5285778010567235,0.9639989215537847,80.32860199980003,81.57554771323497,0.034758347474961176,6.960723841567434,6.996913130067283,-0.03618928849984915
post1950,WY1950–2019,15cdec,MRC,vic,unimp,831,0.7728720001149384,0.839661723647962,13.261379159789493,0.949810043885294,92.39359039716204,81.57554771323497,0.06522110297881548,6.713535175140081,6.996913130067283,-0.28337795492720197
post1950,WY1950–2019,15cdec,NHG,15cdec,inflow_sum,831,0.8754607784596313,0.9319842514044041,-4.090410330017868,0.9691315875332814,13.235384843959064,13.79985556136884,0.040205368533212237,5.078770201307719,5.372693265245186,-0.29392306393746637
post1950,WY1950–2019,15cdec,NHG,vic,inflow_sum,831,0.6244051236822157,0.8125393637360129,30.1066701041777,0.9517984271272852,17.954532550083176,13.79985556136884,0.05514747600329526,5.269961548648041,5.372693265245186,-0.10273171659714464
post1950,WY1950–2019,15cdec,NML,15cdec,unimp,831,0.9252636548040022,0.8866875455594543,1.089738685188778,0.9417676772863378,98.00790432416551,96.9513875482252,0.08556160690325618,7.101421730233509,6.806326142034866,0.29509558819864345
