arc,node,set,n_months,kge,nse,pbias,r,mean_set_taf,mean_calsim3_taf,cov_frac,n_hru
I_CMP001,CMP001,9unimp,1167,0.6565293764161004,0.5385245391070201,1.0972158587287841,0.8620660354421372,0.9963923263880449,0.9855784038408965,1.002,5.0
I_CMP001,CMP001,vic,1167,0.21145229869828752,-0.21345422784105939,35.26729351199327,0.7909846358086444,1.3331652323142837,0.9855784038408965,,
I_CMP014,CMP014,9unimp,1167,0.8082654468105206,0.6383071146241901,-7.407294218364334,0.8304133431958555,3.1423837985052776,3.3937703536994173,0.997,9.0
I_CMP014,CMP014,vic,1167,0.718374786967733,0.44669988162614116,3.3950520737748766,0.7746337454928383,3.5089906244718465,3.3937703536994173,,
I_CMPFW,CMPFW,9unimp,1167,0.2707729816651513,0.5344262007655624,-53.620261789475656,0.8909730706574807,0.5935215503112925,1.2797000871743007,1.001,7.0
I_CMPFW,CMPFW,vic,1167,0.6280303869266481,0.6173626140885822,-28.108196683091276,0.8076199887472135,0.9199994697176578,1.2797000871743007,,
I_COL003,COL003,15cdec,1167,0.8066855524047059,0.8530283975002779,-11.280607824936364,0.9293294109304674,3.4365802426556464,3.873538984435881,1.002,10.0
I_COL003,COL003,9unimp,1167,0.6891312973231887,0.8135007514005653,-21.332579285321067,0.9234593411985349,3.0472132094332762,3.873538984435881,1.002,5.0
I_COL003,COL003,vic,1167,0.7413973250901953,0.8118732099532664,-18.058423348509663,0.9123624808454215,3.1740389160568876,3.873538984435881,,
I_COW014,COW014,15cdec,1167,0.786311978301128,0.8413536734444539,-12.256439516132309,0.9253589158753167,30.461113150043587,34.716066890907726,0.921,101.0
I_COW014,COW014,11obs,1167,0.7948121251029554,0.795374847921857,1.2995084053535126,0.8946500836199885,35.16720509816322,34.716066890907726,1.0,40.0
I_COW014,COW014,vic,1167,0.8449662162560345,0.7944734911013255,-11.975271773510155,0.902226291008358,30.55872353164795,34.716066890907726,,
I_CSM035,CSM035,9unimp,1167,0.9611475193453027,0.9527448171444239,1.1546832592430964,0.9761203887073319,25.169564819468803,24.882253602597203,1.001,55.0
I_CSM035,CSM035,vic,1167,0.500596068133367,0.7385365522186188,39.306353418953236,0.9557920989300179,34.662560142234284,24.882253602597203,,
I_CWD018,CWD018,15cdec,1167,0.7451264119643319,0.8234130300847279,-8.563289152293962,0.9207122854542904,22.26053756673538,24.345295626186505,0.94,93.0
I_CWD018,CWD018,11obs,1167,0.7281300562453374,0.8430217221591313,16.714512294932263,0.9337493118892818,28.414493056863055,24.345295626186505,0.979,38.0
I_CWD018,CWD018,vic,1167,0.8077319142368244,0.8515012355008064,11.734588335408036,0.9460223006936546,27.20211584695759,24.345295626186505,,
I_CYN009,CYN009,15cdec,1167,0.7218849842323241,0.4213342536958463,1.9682050890903249,0.7433995848466224,0.2035781668862058,0.199648671572024,0.99,2.0
I_CYN009,CYN009,11obs,1167,0.670688084887561,0.5935759497908775,13.596253775448174,0.8738228315001167,0.22679341161826744,0.199648671572024,0.99,3.0
I_CYN009,CYN009,vic,1167,0.4703208769005123,0.23498500477696727,17.954082515651542,0.8191801522590725,0.23549375880746734,0.199648671572024,,
I_DAVIS,DAVIS,15cdec,1167,0.36878828274304676,0.5880070677160529,-46.00506420119946,0.8663950685808834,1.380280824854227,2.556315336678091,0.94,22.0
I_DAVIS,DAVIS,11obs,1167,0.5631080614076385,0.5706998436640345,-25.63555704693072,0.7742612159467268,1.9009896602445397,2.556315336678091,1.002,11.0
I_DAVIS,DAVIS,vic,1167,0.8004525329186504,0.7526528978381681,3.048423586570595,0.8678903702125541,2.6342426563485075,2.556315336678091,,
I_DCC010,DCC010,15cdec,1167,0.6666151924232593,0.5852095681128893,-4.732862705695176,0.7657398465620701,2.216050756568007,2.3261439563593194,0.998,6.0
I_DCC010,DCC010,11obs,1167,0.6895381741732276,0.5450532483210899,-14.24151584131626,0.7547110317073153,1.9948657963225862,2.3261439563593194,0.998,4.0
