key,lat,lon,in_15cdec_grid,in_9unimp,in_11obs,in_12rim,in_calsim3_fp
35.59375_-118.53125,35.59375,-118.53125,0,0,0,0,1
35.59375_-118.46875,35.59375,-118.46875,0,0,0,0,1
35.59375_-118.40625,35.59375,-118.40625,1,0,0,0,1
35.59375_-118.34375,35.59375,-118.34375,1,0,0,0,1
35.59375_-118.28125,35.59375,-118.28125,1,0,0,0,1
35.59375_-118.21875,35.59375,-118.21875,1,0,0,0,1
35.59375_-118.15625,35.59375,-118.15625,1,0,0,0,1
35.59375_-118.09375,35.59375,-118.09375,1,0,0,0,1
35.65625_-120.21875,35.65625,-120.21875,0,0,0,0,1
35.65625_-120.15625,35.65625,-120.15625,0,0,0,0,1
35.65625_-120.09375,35.65625,-120.09375,0,0,0,0,1
35.65625_-120.03125,35.65625,-120.03125,0,0,0,0,1
35.65625_-119.96875,35.65625,-119.96875,0,0,0,0,1
35.65625_-119.90625,35.65625,-119.90625,0,0,0,0,1
35.65625_-119.84375,35.65625,-119.84375,0,0,0,0,1
35.65625_-119.78125,35.65625,-119.78125,0,0,0,0,1
35.65625_-119.71875,35.65625,-119.71875,0,0,0,0,1
35.65625_-119.65625,35.65625,-119.65625,0,0,0,0,1
35.65625_-119.59375,35.65625,-119.59375,0,0,0,0,1
35.65625_-119.53125,35.65625,-119.53125,0,0,0,0,1
35.65625_-119.46875,35.65625,-119.46875,0,0,0,0,1
35.65625_-119.40625,35.65625,-119.40625,0,0,0,0,1
35.65625_-119.34375,35.65625,-119.34375,0,0,0,0,1
35.65625_-119.28125,35.65625,-119.28125,0,0,0,0,1
35.65625_-119.21875,35.65625,-119.21875,0,0,0,0,1
35.65625_-119.15625,35.65625,-119.15625,0,0,0,0,1
35.65625_-119.09375,35.65625,-119.09375,0,0,0,0,1
35.65625_-119.03125,35.65625,-119.03125,0,0,0,0,1
35.65625_-118.96875,35.65625,-118.96875,0,0,0,0,1
35.65625_-118.90625,35.65625,-118.90625,0,0,0,0,1
35.65625_-118.84375,35.65625,-118.84375,0,0,0,0,1
35.65625_-118.78125,35.65625,-118.78125,0,0,0,0,1
35.65625_-118.71875,35.65625,-118.71875,0,0,0,0,1
35.65625_-118.65625,35.65625,-118.65625,0,0,0,0,1
35.65625_-118.59375,35.65625,-118.59375,1,0,0,0,1
35.65625_-118.53125,35.65625,-118.53125,1,0,0,0,1
35.65625_-118.46875,35.65625,-118.46875,1,0,0,0,1
35.65625_-118.40625,35.65625,-118.40625,1,0,0,0,1
35.65625_-118.34375,35.65625,-118.34375,1,0,0,0,1
35.65625_-118.28125,35.65625,-118.28125,1,0,0,0,1
35.65625_-118.21875,35.65625,-118.21875,1,0,0,0,1
