key,date,prcp_raw_mm
38.59375_-120.65625,1974-07-09,210.11700439453125
38.65625_-120.28125,1974-07-09,195.33900451660156
38.65625_-120.34375,1974-07-09,194.39199829101562
38.65625_-120.40625,1974-07-09,373.0559997558594
38.65625_-120.46875,1974-07-09,357.8550109863281
38.65625_-120.53125,1974-07-09,312.093994140625
38.65625_-120.59375,1974-07-09,230.77200317382812
38.65625_-120.65625,1974-07-09,178.3730010986328
38.65625_-120.71875,1974-07-09,154.39300537109375
38.71875_-120.34375,1974-07-09,156.76800537109375
38.71875_-120.40625,1974-07-09,305.614013671875
38.71875_-120.46875,1974-07-09,470.9020080566406
38.71875_-120.46875,1974-07-10,199.8280029296875
38.71875_-120.53125,1974-07-09,334.84698486328125
38.71875_-120.59375,1974-07-09,314.7690124511719
38.71875_-120.65625,1974-07-09,252.18299865722656
38.71875_-120.71875,1974-07-09,213.99899291992188
38.71875_-120.78125,1974-07-09,190.57899475097656
38.71875_-120.96875,1974-07-09,150.18600463867188
38.71875_-121.03125,1974-07-08,180.28599548339844
38.71875_-121.03125,1974-07-09,241.82400512695312
38.78125_-120.34375,1974-07-09,168.5070037841797
38.78125_-120.40625,1974-07-09,228.67100524902344
38.78125_-120.46875,1974-07-09,490.6679992675781
38.78125_-120.46875,1974-07-10,211.56399536132812
38.78125_-120.53125,1974-07-09,430.8909912109375
38.78125_-120.53125,1974-07-10,181.697998046875
38.78125_-120.59375,1974-07-09,318.1510009765625
38.78125_-120.65625,1974-07-09,252.3560028076172
38.78125_-120.71875,1974-07-09,263.4649963378906
38.78125_-120.78125,1974-07-09,228.69700622558594
38.78125_-120.84375,1974-07-09,162.88400268554688
38.78125_-120.96875,1974-07-09,322.7340087890625
38.78125_-121.03125,1974-07-08,211.89300537109375
38.78125_-121.03125,1974-07-09,286.10101318359375
38.78125_-121.09375,1974-07-08,255.5489959716797
38.78125_-121.09375,1974-07-09,312.18499755859375
38.78125_-121.15625,1974-07-08,280.6520080566406
38.78125_-121.15625,1974-07-09,323.82000732421875
38.78125_-122.71875,1954-08-28,168.67300415039062
38.84375_-120.40625,1974-07-09,211.75399780273438
38.84375_-120.46875,1974-07-09,471.4129943847656
38.84375_-120.46875,1974-07-10,165.8470001220703
38.84375_-120.53125,1974-07-09,449.0849914550781
38.84375_-120.59375,1974-07-09,392.62799072265625
38.84375_-120.65625,1974-07-09,382.1510009765625
38.84375_-120.71875,1974-07-09,490.81500244140625
38.84375_-120.78125,1974-07-09,482.489990234375
